CYCLING,Flywheel Sports: Stadium Cycling,"800 Boylston St, Boston",4.9,(5000+)
"CYCLING, STRENGTH TRAINING",Turnstyle,"310 Harrison Ave, Boston",4.8,(5000+)
"STRENGTH TRAINING, RUNNING",Barry's Bootcamp,"30 Chauncy St, Boston",4.9,(5000+)
CYCLING,The Handle Bar,"141 Dorchester Avenue #R101, Boston",4.8,(5000+)
CYCLING,The Handle Bar,"1030 Massachusetts Ave, Cambridge",4.8,(5000+)
"STRENGTH TRAINING, RUNNING",Barry's Bootcamp,"455 Stuart Street, Boston",4.9,(5000+)
"YOGA, BARRE",exhale,"28 Arlington St, Boston",4.8,(5000+)
"YOGA, BARRE",exhale,"383 Commercial Street, Boston",4.8,(5000+)
BOXING,EverybodyFights,"15 Channel Center St, Boston",4.9,(5000+)
BOXING,EverybodyFights,"1 Federal St, Boston",4.9,(5000+)
YOGA,North End Yoga,"256 Hanover St, Boston",4.9,(5000+)
CYCLING,The Handle Bar,"1330 Boylston St, Boston",4.8,(5000+)
"PILATES, STRENGTH TRAINING",Btone Fitness,"30 Newbury St, Ste 4, Boston",4.8,(5000+)
"STRENGTH TRAINING, RUNNING",Barry's Bootcamp,"55 Boylston St, Ste 5568, Newton",4.9,(5000+)
"PILATES, STRENGTH TRAINING",Btone Fitness,"133 Salem St, Boston",4.9,(5000+)
"CYCLING, STRENGTH TRAINING",Turnstyle,"43 Fairfield St, Boston",4.7,(5000+)
YOGA,CorePower Yoga,"20 Bond Drive, Boston",4.9,(5000+)
YOGA,South Boston Yoga,"36 W Broadway, Boston",4.8,(5000+)
BARRE,Barre Groove,"52 Province St, Boston",4.9,(5000+)
"PILATES, STRENGTH TRAINING",Btone Fitness,"416 W Broadway, Boston",4.9,(5000+)
CYCLING,Turnstyle,"14 Hampshire St, Cambridge",4.8,(5000+)
GYM TIME,Healthworks,"441 Stuart St, Boston",4.8,(5000+)
"CYCLING, STRENGTH TRAINING",Turnstyle,"24 Cambridge St, Boston",4.8,(5000+)
YOGA,YogaWorks,"364 Boylston St, Boston",4.8,(5000+)
CYCLING,Ride North End,"89 Salem St, Boston",4.8,(5000+)
BARRE,Barre & Soul,"36 John F. Kennedy St, Cambridge",4.8,(5000+)
YOGA,CorePower Yoga,"34 Traveler St, Boston",4.8,(5000+)
CYCLING,Rev'd Indoor Cycling,"81 Legacy Blvd Suite 2, Dedham",4.9,(1000+)
"GYM TIME, STRENGTH TRAINING",Healthworks,"325 Harvard St, Brookline",4.8,(5000+)
CYCLING,Rev’d Indoor Cycling,"80 Burlington Mall Road, Burlington",4.9,(1000+)
YOGA,YogaWorks,"585 Massachusetts Ave, Cambridge",4.8,(5000+)
YOGA,Coolidge Yoga,"1297 Beacon St, Brookline",4.8,(5000+)
BARRE,barre3,"1624 Beacon St, Brookline",4.9,(5000+)
BARRE,The Energy Barre,"The Dow Block Building, 5 Central St, 4th floor, Stoneham",4.9,(1000+)
BARRE,Barre N9NE Studio,"391 Revolution Dr, Somerville",4.8,(5000+)
"STRENGTH TRAINING, ROWING",Row Republic,"77 North Washington Street, Boston",4.9,(1000+)
BOXING,TITLE Boxing Club,"338 Newbury St, Boston",4.9,(5000+)
YOGA,CorePower Yoga,"1119 Commonwealth Avenue, Boston",4.8,(1000+)
CYCLING,CycleBar,"387 Revolution Drive, Somerville",4.8,(5000+)
"STRENGTH TRAINING, BARRE",Flywheel Sports: Precision Training,"800 Boylston St, Boston",4.9,(5000+)
YOGA,East Side Yoga And Fitness,"584 E Broadway, Boston",4.9,(5000+)
ROWING,Sweat Fixx,"323 Dorchester Avenue, Boston",4.9,(1000+)
GYM TIME,Republic Fitness,"2 International Pl, Boston",4.8,(5000+)
CYCLING,FireCycle,"290 Moody St, Waltham",4.9,(1000+)
BOXING,Title Boxing Club,"381 Revolution Dr, Somerville",4.9,(5000+)
"GYM TIME, RUNNING",Heartbreak Hill Running Company,"294 Massachusetts Ave, Cambridge",4.9,(5000+)
"YOGA, GYM TIME",Healthworks,"35 White St, Cambridge",4.8,(5000+)
"PILATES, BARRE",C2 Body,"840 Summer St, Ste 2, Room 203, Boston",4.8,(5000+)
BOXING,TITLE Boxing Club,"226 Causeway St, Boston",4.9,(5000+)
BARRE,Barre3,"1511 Washington St, Boston",4.9,(5000+)
RUNNING,MyStryde,"226 Causeway St, Boston",4.9,(5000+)
BARRE,Simply Barre,"118 W Broadway, Boston",4.8,(5000+)
CYCLING,REPS,"781 Centre St, Boston",4.9,(1000+)
PILATES,Breathe Cambridge,"30 John F. Kennedy St, Cambridge",4.8,(1000+)
BARRE,The Energy Barre,"65 Riverside Avenue, Medford",4.8,(1000+)
YOGA,JP Centre Yoga,"670 Centre St, Boston",4.8,(5000+)
YOGA,Baptiste Power Yoga Boston,"25 Harvard St, Brookline",4.9,(1000+)
"CYCLING, STRENGTH TRAINING",Turnstyle,"6 Cummings Park Dr, Woburn",4.8,(5000+)
YOGA,CorePower Yoga,"305 Centre St, Newton",4.8,(1000+)
YOGA,CorePower Yoga,"170 Alewife Brook Pkwy, Cambridge",4.8,(1000+)
PILATES,Boston Body,"14 Newbury St, Ste 4, Boston",4.8,(5000+)
BOXING,Peter Welch's Gym,"371 Dorchester Ave, Boston",4.9,(1000+)
CYCLING,BURN Fitness Studios,"547 Columbus Ave, Boston",4.8,(5000+)
YOGA,Beacon Hill Yoga,"57 Phillips St, Boston",4.8,(5000+)
"PILATES, STRENGTH TRAINING",Btone Fitness,"708 Main St., Waltham",4.9,(1000+)
YOGA,Open Doors Yoga,"960 William T Morrissey Blvd, Boston",4.8,(1000+)
YOGA,YogaWorks,"309 Main St, Watertown",4.8,(1000+)
"YOGA, STRENGTH TRAINING",Healthworks,"1300 Boylston St, Route 9 East, Brookline",4.8,(1000+)
"YOGA, CYCLING",Fit Life,"22 Corey St, Melrose",4.8,(1000+)
STRENGTH TRAINING,Boston Fit Body Boot Camp and Body Fits You Studio,"24 Cambridge St, Boston",4.8,(1000+)
YOGA,O2 Yoga,"288 Highland Ave, Somerville",4.8,(1000+)
CYCLING,BURN Fitness Studios,"867 Boylston St, Suite 200, Boston",4.7,(5000+)
STRENGTH TRAINING,Lifted Fitness,"803 Summer St, Boston",4.9,(1000+)
BARRE,The Bar Method,"75 Federal St, Boston",4.7,(5000+)
ROWING,Sweat Fixx,"454 Massachusetts Ave, Arlington",4.9,(1000+)
"STRENGTH TRAINING, DANCE",TRILLFIT,"1484 Tremont St, Boston",4.9,(1000+)
BARRE,The Energy Barre,"The Cummings Center, 100, Suite B20-D, Beverly",4.9,(1000+)
STRENGTH TRAINING,Btone Fitness,"89 Central St, Wellesley",4.8,(1000+)
STRENGTH TRAINING,BRICK Boston,"133 Federal St, Lower Level, Boston",4.8,(5000+)
BARRE,The Bar Method,"234 Clarendon St, Boston",4.8,(5000+)
