"CYCLING, STRENGTH TRAINING",Studio Three,"648 N Clark St, Chicago",4.9,(5000+)
CYCLING,Flywheel Sports: Stadium Cycling,"1653 N Wells St, Chicago",4.9,(5000+)
YOGA,Zen Yoga Garage,"1845 N Milwaukee Ave, Chicago",4.8,(5000+)
PILATES,Studio Lagree,"24 E Erie St, Chicago",4.9,(5000+)
"CYCLING, STRENGTH TRAINING",Studio Three,"2401 N Halsted St , Chicago",4.8,(5000+)
PILATES,Studio Lagree,"1419 N Wells St, Chicago",4.9,(5000+)
BARRE,SALT Fitness,"1714 N Damen Ave, Ste 2N, Chicago",4.9,(5000+)
CYCLING,Flywheel Sports: Stadium Cycling,"710 N State St, Chicago",4.9,(5000+)
"STRENGTH TRAINING, RUNNING",Shred415,"2150 N Clybourn Ave, Chicago",4.9,(5000+)
STRENGTH TRAINING,SWEAT,"1841 N Clybourn Ave, Chicago",4.9,(5000+)
STRENGTH TRAINING,SWEAT,"1165 N State St, Chicago",4.9,(5000+)
"STRENGTH TRAINING, RUNNING",Barry's Bootcamp,"11 W Erie St, Chicago",4.9,(5000+)
"STRENGTH TRAINING, RUNNING",Shred415,"1444 N Milwaukee Ave, Chicago",4.9,(5000+)
PILATES,CHI50,"1814 N Milwaukee Ave, Chicago",4.9,(5000+)
"STRENGTH TRAINING, RUNNING",Barry's Bootcamp,"1937 N Halsted St, Chicago",4.9,(5000+)
"STRENGTH TRAINING, RUNNING",Shred415,"230 W Division St, Chicago",4.9,(5000+)
"STRENGTH TRAINING, RUNNING",Shred415,"1136 S Delano Ct, E202, Chicago",4.9,(5000+)
CYCLING,Spynergy,"1632 B West Division Street, Chicago",4.9,(5000+)
PILATES,Studio Lagree,"1123 W Armitage Ave, Chicago",4.9,(5000+)
YOGA,Ritual Hot Yoga,"750 N Franklin St, #205, Chicago",4.8,(5000+)
YOGA,CorePower Yoga,"945 W George St, Chicago",4.9,(5000+)
PILATES,Studio Lagree,"1015 West Madison Street, Chicago",4.9,(5000+)
STRENGTH TRAINING,CrossTown Fitness,"3406 N Lincoln Ave, Chicago",4.9,(5000+)
BARRE,The Barre Code,"959 W Belmont Ave, Chicago",4.8,(5000+)
BOXING,TITLE Boxing Club,"2417 N Clark St, Chicago",4.9,(5000+)
BARRE,The Barre Code,"435 N La Salle Dr, Ste Ll2, Chicago",4.8,(5000+)
YOGA,CorePower Yoga,"108 W Germania Pl, Chicago",4.8,(5000+)
"YOGA, BARRE",Bare Feet Power Yoga,"1006 W Monroe St, C, Chicago",4.8,(5000+)
STRENGTH TRAINING,CrossTown Fitness,"1031 W Madison St, Chicago",4.9,(5000+)
YOGA,CorePower Yoga,"310 W Superior St, Chicago",4.8,(5000+)
PILATES,Pilates ProWorks,"765 W Adams St, Chicago",4.8,(5000+)
BOXING,TITLE Boxing Club,"1355 N Milwaukee Ave, Chicago",4.9,(5000+)
"STRENGTH TRAINING, BARRE",Flywheel Sports: Precision Training,"1653 N Wells St, Chicago",4.9,(5000+)
YOGA,CorePower Yoga,"3232 N Lincoln Ave, Chicago",4.8,(5000+)
YOGA,Yoga Six,"1136 S Delano Ct, Chicago",4.8,(5000+)
"YOGA, BARRE",exhale,"945 N State St, Chicago",4.8,(5000+)
"STRENGTH TRAINING, RUNNING",RUNAWAY Fitness,"228 East Illinois Street, Chicago",4.9,(1000+)
YOGA,Yoga Six,"1150 N State St, Suite 200, Chicago",4.8,(5000+)
STRENGTH TRAINING,CrossTown Fitness,"3600 N Halsted St, Chicago",4.9,(5000+)
YOGA,The Space Between,"222 W Hubbard Street , Lower Level SE, Chicago",4.8,(1000+)
CYCLING,CycleBar,"175 N Halsted St, Chicago",4.8,(5000+)
YOGA,Mirepoix Wellness Studio,"1414 N Ashland Ave, Chicago",4.9,(5000+)
YOGA,yogaview,"2211 N Elston Ave, Suite 200, Chicago",4.9,(5000+)
"YOGA, PILATES",ENRGi Fitness,"215 W Ohio St, Chicago",4.8,(5000+)
STRENGTH TRAINING,Kick@55 Fitness,"108 W Hubbard St, Lower Level, Chicago",4.8,(5000+)
"PILATES, STRENGTH TRAINING",[solidcore],"463 W Chicago Ave, Chicago",4.9,(5000+)
