CYCLING,Class Studios,"2801 N Central Expy, #100, Dallas",4.9,(5000+)
PILATES,SESSION Pilates,"3121 N Fitzhugh Ave, Dallas",4.9,(5000+)
PILATES,SESSION Pilates,"6465 E Mockingbird Ln, Dallas",4.9,(5000+)
"CYCLING, STRENGTH TRAINING",ZYN22,"3858 Oak Lawn Ave, #430, Dallas",4.9,(5000+)
PILATES,One Lagree,"3858 Oak Lawn Ave, Suite 440, Dallas",4.9,(5000+)
STRENGTH TRAINING,Rise Nation,"4640 McKinney Ave, Dallas",4.9,(5000+)
YOGA,Black Swan Yoga,"5118 W Lovers Ln, Dallas",4.8,(5000+)
STRENGTH TRAINING,BEYOND500 - Henderson,"2003 N Henderson Ave, Dallas",4.9,(5000+)
CYCLING,The Ride House,"5600 W Lovers Ln, Ste. #100, Dallas",4.9,(5000+)
"STRENGTH TRAINING, RUNNING",Barry's Bootcamp,"3600 McKinney Ave, Suite 150, Dallas",4.9,(5000+)
PILATES,Session Pilates,"4520 Lovers Lane, Dallas",4.9,(1000+)
CYCLING,CycleBar,"2020 Cedar Springs Rd, Dallas",4.9,(5000+)
YOGA,Uptown Yoga,"2636 Thomas Ave, Dallas",4.8,(5000+)
"PILATES, STRENGTH TRAINING",[solidcore],"4640 McKinney Ave, Dallas",4.9,(5000+)
STRENGTH TRAINING,HIIT Fit,"167 Turtle Creek Boulevard, #102 , Dallas",4.9,(1000+)
BOXING,TITLE Boxing Club,"4140 Lemmon Ave, Suite 275, Dallas",4.9,(5000+)
CYCLING,Lync Cycling,"5717 Legacy Dr, Suite 120A, Plano",4.9,(5000+)
YOGA,CorePower Yoga,"1907 N Henderson Ave, Dallas",4.9,(5000+)
CYCLING,Lync Cycling,"6726 Snider Plaza, Dallas",4.8,(5000+)
"PILATES, STRENGTH TRAINING, …",Studio 6 Fitness,"8180 Park Ln, Suite 343, Dallas",4.9,(5000+)
PILATES,SculptHouse,"5550 West Lovers Lane, Suite 146, Dallas",4.9,(1000+)
"PILATES, BARRE",The PilatesBarre,"5425 W Lovers Ln, Dallas",4.9,(5000+)
"YOGA, BARRE",exhale,"5300 E Mockingbird Ln, Dallas",4.8,(5000+)
STRENGTH TRAINING,Evolve,"500 S Ervay St, Dallas",4.9,(1000+)
GYM TIME,Diesel Fitness,"2901 Cityplace W Blvd, #100, Dallas",4.9,(1000+)
STRENGTH TRAINING,Body Machine Fitness,"6153 Windhaven Parkway , Suite 130, Plano",4.9,(1000+)
CYCLING,CycleBar,"11700 Preston Rd, Dallas",4.8,(5000+)
YOGA,We Yogis,"5600 W Lovers Ln, Suite 150, Dallas",4.8,(5000+)
RUNNING,Tread Fitness,"5454 Lemmon Ave, Dallas",4.9,(5000+)
"PILATES, STRENGTH TRAINING",BODYBAR FITNESS,"4514 Travis St, Dallas",4.8,(5000+)
YOGA,CorePower Yoga,"11700 Preston Rd, # 800, Dallas",4.8,(5000+)
BARRE,The TreadBarre,"6915 Hillcrest Ave, Dallas",4.9,(5000+)
CYCLING,Neon Cycle + Strength,"5580 TX-121 #200, Plano",4.9,(1000+)
YOGA,CorePower Yoga,"5319 E Mockingbird Ln, Dallas",4.8,(5000+)
YOGA,We Yogis,"6465 E Mockingbird Ln, Dallas",4.9,(5000+)
BARRE,The Barre Code,"1430 Dragon St, Suite 25, Dallas",4.8,(5000+)
"CYCLING, STRENGTH TRAINING",Fit Social Club,"3400 Carlisle Street, Dallas",5.0,(1000+)
STRENGTH TRAINING,BURN Dallas,"11661 Preston Rd, Suite 175, Dallas",4.9,(5000+)
"MEDITATION, YOGA",The Refuge Dallas,"4140 Commerce St. , #202, Dallas",4.9,(1000+)
"YOGA, CYCLING, …",VITAL Fitness Studio,"1608 Main St, Dallas",4.8,(5000+)
BARRE,barre3,"1387 W Campbell Rd, Richardson",4.9,(1000+)
YOGA,Gaia Flow Yoga,"3000 Blackburn St, Suite 140B, Dallas",4.8,(5000+)
YOGA,Uptown Yoga,"6800 Windhaven Pkwy, The Colony",4.8,(1000+)
"PILATES, STRENGTH TRAINING, …",Studio 6 Fitness,"5813 Preston Rd, Plano",4.9,(5000+)
"PILATES, STRENGTH TRAINING",BEYONDPilates,"4348 Lovers Ln, Dallas",4.8,(5000+)
"PILATES, STRENGTH TRAINING, …",Studio 6 Fitness,"11909 Preston Rd, Suite 1412, Dallas",4.8,(5000+)
PILATES,BODYBAR FITNESS,"1900 Preston Rd, Suite 269, Plano",4.8,(1000+)
STRENGTH TRAINING,District Climb,"3636 McKinney Ave, Dallas",4.8,(5000+)
YOGA,City Yoga,"4311 Belmont Ave, Dallas",4.8,(5000+)
"PILATES, STRENGTH TRAINING",[solidcore],"7949 Walnut Hill Lane Unit 140, Dallas",4.9,(1000+)
"GYM TIME, STRENGTH TRAINING",SWEAT,"5470 W Lovers Ln, Suite 335, Dallas",4.9,(1000+)
STRENGTH TRAINING,Strong Fitness and Performance Center,"4755 McEwen Rd, Farmers Branch",4.9,(1000+)
CYCLING,Full Psycle,"2650 N Fitzhugh Ave, Suite 120, Dallas",4.8,(1000+)
"PILATES, STRENGTH TRAINING, …",Studio 6 Fitness,"7317 Gaston Ave, Dallas",4.9,(1000+)
GYM TIME,Gold's Gym,"2425 McKinney Ave, Dallas",4.7,(1000+)
PILATES,BEYOND Studios,"4851 Legacy Dr, Frisco",4.8,(1000+)
PILATES,The PilatesBarre,"6815 Hillcrest Ave, Dallas",4.8,(5000+)
BARRE,Pure Barre,"6025 Royal Ln, Suite 203, Dallas",4.8,(5000+)
BARRE,barre3,"8855 Coleman Blvd, Frisco",4.9,(1000+)
BARRE,barre3,"2108 Dallas Pkwy, Plano",4.9,(1000+)
YOGA,BalancingEnergy Health & Yoga Center,"1444 Oak Lawn Ave, Suite 319, Dallas",4.9,(1000+)
BARRE,barre3,"120 S Denton Tap Rd, Coppell",4.8,(1000+)
YOGA,Gaia Flow Yoga,"15520 Spectrum Dr, Addison",4.8,(1000+)
YOGA,Urban Vybe,"2500 Lakeside Pkwy, Flower Mound",4.9,(1000+)
BARRE,The Barre Code,"4757 W Park Blvd, Suite 112, Plano",4.9,(1000+)
CRYOTHERAPY,CRYO1ONE,"3818 Cedar Springs Rd, Suite 104, Dallas",4.9,(1000+)
BARRE,The Bar Method,"5560 W Lovers Ln, Dallas",4.9,(1000+)
YOGA,Gaia Flow Yoga,"1921 Preston Rd, Suite 2014, Plano",4.8,(1000+)
YOGA,Uptown Yoga,"7330 Gaston Ave, Dallas",4.8,(1000+)
GYM TIME,Gold's Gym,"110 W Campbell Rd, #100, Richardson",4.8,(1000+)
SAUNA,Glow Sauna Studios,"5319 East Mockingbird Lane Suite 200, Dallas",4.8,(500+)
BOXING,TITLE Boxing Club,"6101 Windhaven Pkwy, Plano",4.9,(1000+)
PILATES,Kiva Pilates,"4919 McKinney Avenue 2nd Floor, Dallas",4.8,(1000+)
YOGA,Horizon Hot Yoga,"7151 Preston Rd, Suite 221B, Frisco",4.8,(1000+)
PILATES,Classic Pilates,"3303 Lee Pkwy, Suite 105, Dallas",4.8,(1000+)
YOGA,Twist Power Yoga,"11722 Marsh Ln, Suite 302, Dallas",4.9,(1000+)
BARRE,XTEND,"7865 Firefall Way Suite 140, Dallas",4.8,(1000+)
YOGA,The Yoga Factory,"Shops of Legacy, 5800 Legacy Dr, Suite C12, Plano",4.9,(1000+)
CRYOTHERAPY,CRYO1ONE,"6025 Royal Ln, Suite 2019-2, Dallas",4.9,(1000+)
BOXING,TITLE Boxing Club,"11613 N Central Expy, #108, Dallas",4.8,(1000+)
YOGA,V12 Yoga,"600 S Harwood St, Dallas",4.8,(1000+)
"AERIAL, YOGA",Altitude Fitness,"8855 Preston Trace Blvd, #300, Frisco",4.8,(1000+)
DANCE,Park Cities Studios,"7979 Inwood Rd, Suite 201, Dallas",4.8,(1000+)
DANCE,The Ballet Burn,"3858 Oak Lawn Ave, Suite 430, Dallas",4.9,(1000+)
PILATES,Duro Pilates,"1314 West Davis Street , Suite 120, Dallas",4.9,(500+)
YOGA,The Yoga Movement,"4931 Airline Rd, Suite 102, Dallas",4.8,(1000+)
STRENGTH TRAINING,City Surf,"2805 Allen Street , Ste. 113, Dallas",4.9,(100+)
GYM TIME,Gold's Gym,"8335 Westchester Dr, Preston Center Pavilion, Dallas",4.8,(1000+)
STRENGTH TRAINING,Jambox Fitness,"3965 Belt Line Rd, Addison",4.7,(1000+)
YOGA,Bikram Yoga North Texas,"240 N Main St, Grapevine",4.8,(1000+)
YOGA,Super Yoga Palace,"9026 Garland Rd, Dallas",4.8,(1000+)
STRENGTH TRAINING,D1 Training,"8081 Walnut Hill Lane, Dallas",4.9,(100+)
STRENGTH TRAINING,EvoFit,"3821 Ross Avenue, Dallas",4.8,(500+)
YOGA,Lotus Yoga Dallas,"6337 Prospect Ave, Dallas",4.8,(1000+)
YOGA,Yoga Chikitsa,"328 W Campbell Rd, Richardson",4.7,(500+)
PILATES,Edge Group Fitness,"209 South Tyler Street, Dallas",4.9,(100+)
PILATES,AllPilates Studio,"9411 Preston Rd, Suite #106, Frisco",4.8,(1000+)
YOGA,Yoga On Main,"6726 Main St, Ste 310, Frisco",4.7,(500+)
CYCLING,TerlinGO CYCLE,"3105 Reagan St, Dallas",4.8,(1000+)
STRENGTH TRAINING,Tiger's Den CrossFit,"2025 Irving Blvd, Suite 103, Dallas",4.9,(500+)
PILATES,Classic Pilates,"2426 Victory Park Ln, Dallas",4.9,(1000+)
BARRE,The Barre Code,"5757 W Lovers Ln, Suite 350, Dallas",4.7,(1000+)
YOGA,Yoga Art Music Dallas (YAM),"9850 Walnut Hill Ln , #427, Dallas",4.9,(100+)
YOGA,Tribal Yoga House,"4343 Sigma Rd #100, Farmers Branch",4.9,(100+)
PILATES,Ultimate Pilates,"4690 McDermott Rd, Plano",4.7,(500+)
STRENGTH TRAINING,HIIT Circuit Training,"200 Town Place, Fairview",5.0,(100+)
STRENGTH TRAINING,Lone Star Circus School,"Inwood Soccer Center, 14801 Inwood Rd, Addison",4.8,(500+)
YOGA,Eastside Karmany,"1327 N Peak St., Dallas",4.8,(100+)
YOGA,The Yoga Factory,"19009 Preston Rd, Suite 117, Dallas",4.8,(500+)
YOGA,Yogasport,"4140 Lemmon Ave Suite 280, Dallas",4.9,(100+)
GYM TIME,LA Fitness (Signature),"250 W State HWY 121, Coppell",4.9,(100+)
STRENGTH TRAINING,City Surf Fitness,"7200 Bishop Rd, Unit D3, Plano",4.8,(1000+)
YOGA,Black Swan Yoga,"407 West 10th Street, Dallas",4.9,(100+)
YOGA,Frisco Yoga and Nutrition,"4040 Legacy Dr, Frisco",4.8,(500+)
YOGA,BKS Iyengar Yoga Studio of Dallas,"5539 Dyer St, Dallas",4.9,(500+)
YOGA,vibe yoga,"190 E Stacy Rd, Suite 1510, Allen",4.7,(500+)
GYM TIME,Smarter Fitness Gym,"13618 Neutron Rd, Farmers Branch",4.9,(500+)
STRENGTH TRAINING,PARADIGM GYMS,"1605 Greenville Ave, Dallas",4.8,(1000+)
"STRENGTH TRAINING, BOXING",The Hook Boxing Studio,"2140 Hall - Johnson Rd, Grapevine",4.9,(100+)
STRENGTH TRAINING,Body District,"5080 Addison Cir, Addison",4.9,(100+)
STRENGTH TRAINING,The 12 Plano/Legacy,"7121 Bishop Road Ste. 100, Plano",4.9,(100+)
"YOGA, DANCE",Move Studio,"17062 Preston Rd, Suite 108, Dallas",4.7,(500+)
PILATES,Power Pilates Southlake,"2120 East Southlake Boulevard, Suite C, Southlake",4.8,(100+)
BARRE,The Bar Method,"718 North Buckner Boulevard Suite 145, Dallas",4.9,(100+)
STRENGTH TRAINING,PowderHeart,"6039 ORAM STREET, Dallas",4.9,(100+)
STRENGTH TRAINING,Harter Strength and Conditioning,"8412 Preston Rd, Suite 425, Plano",4.9,(500+)
DANCE,Shine Fitness Studio,"420 Grapevine Hwy, Suite 117, Hurst",4.9,(100+)
BOXING,TITLE Boxing Club,"503 W McDermott Dr, Allen",4.9,(100+)
YOGA,Dallas Yoga Center,"4525 Lemmon Avenue, Suite 305, Dallas",4.9,(100+)
SAUNA,Mara's Med Spa Highland Park,"6110 Luther Ln, Dallas",4.7,(100+)
MEDITATION,IV Nutrition Dallas,"4924 Greenville Avenue, Ste 100, Dallas",4.9,(100+)
STRENGTH TRAINING,Kaia FIT,"4474 Spring Valley Rd, Farmers Branch",4.8,(100+)
CRYOTHERAPY,Restore Hyper Wellness + Cryotherapy,"1941 Preston Road Ste A 1035, Plano",4.8,(100+)
MASSAGE,Therapeutic Massage By Rosemary Lockard,"4645 N. Central ExpresswayKnox Place Suite 100, Dallas",4.9,(100+)
CYCLING,SandersFit Performance Center,"1409 S Lamar St, 015, Dallas",5.0,(100+)
"AERIAL, YOGA",Altitude Fitness,"1800 Justin Rd #1830A, Highland Village",4.8,(100+)
CRYOTHERAPY,CRYO1ONE,"5840 Legacy CircleSte. D175, Plano",4.9,(100+)
"PILATES, STRENGTH TRAINING",Tight,"6401 Hillcrest Ave., Dallas",4.8,(100+)
"YOGA, CYCLING, …",TruFusion,"9100 North Central Expressway, Dallas",4.8,(100+)
YOGA,The Yoga Retreat,"2125 W Southlake Blvd, Suite 325, Southlake",4.9,(100+)
BARRE,Pure Barre,"230 N Denton Tap Rd Suite 107, Coppell",4.9,(100+)
GYM TIME,TELOS Fitness Center,"13701 Dallas Pkwy, Dallas",4.8,(100+)
GYM TIME,Youfit Health Clubs,"2301 Cross Timbers Rd, #175, Flower Mound",4.8,(100+)
BARRE,Pure Barre,"322 W Campbell Rd, Richardson",4.7,(91)
YOGA,the yoga studio.,"1431 East Southlake Boulevard Suite 519, Southlake",4.9,(78)
BOXING,TITLE Boxing Club,"3184 Preston Rd, Frisco",4.8,(100+)
STRENGTH TRAINING,Larry North Fitness,"6030 Luther Ln, #180, Dallas",4.7,(500+)
"MEDITATION, YOGA",The Mat Yoga Studio,"18484 Preston Rd, Suite 201, Dallas",4.6,(100+)
BOXING,Steadfast Fitness and Performance,"801 Hammond St, Ste 100, Coppell",4.9,(100+)
STRENGTH TRAINING,November Project,"2403 Flora St, Dallas",4.9,(100+)
STRENGTH TRAINING,East Side Athletic Club,"620 Exposition Ave, Dallas",4.9,(500+)
GYM TIME,Youfit Health Clubs,"11411 Northwest Hwy, Dallas",4.7,(85)
BOXING,The Jym,"801 S Greenville Ave, Allen",4.8,(100+)
STRENGTH TRAINING,Boss Chick Fitness,"605 S. Sherman St. , #605M , Richardson",4.9,(100+)
YOGA,The Mat Yoga Studio,"3136 Independence Parkway Suite B, Plano",4.8,(78)
BARRE,The Dailey Method,"8300 Precinct Line Rd, Colleyville",4.7,(100+)
