STRENGTH TRAINING,SWEAT 1000,"725 West 18th Street, Houston",4.9,(5000+)
CYCLING,RIDE Indoor Cycling,"548 W 19th St, Houston",4.9,(5000+)
CYCLING,RYDE,"River Oaks Shopping Center, 2005 W Gray St, D, Houston",4.8,(5000+)
YOGA,BIG Power Yoga,"3115 Allen Pkwy, Houston",4.9,(5000+)
"YOGA, CYCLING, …",Revolution Studio,"2800 Kirby Dr, Suite A220, Houston",4.9,(5000+)
YOGA,Black Swan Yoga,"3210 White Oak Dr, Houston",4.8,(5000+)
PILATES,Boost Pilates,"3339 W Lamar St, Houston",4.9,(5000+)
PILATES,Boost Pilates,"3620 Katy Freeway Suite A, Houston",4.9,(5000+)
STRENGTH TRAINING,HIP Fitness,"2400 Mid Ln, Suite 330, Houston",4.9,(5000+)
YOGA,Black Swan Yoga,"5310 Kirby Dr, Houston",4.8,(5000+)
"YOGA, CYCLING, …",DEFINE,"1945 W Gray St, Houston",4.8,(5000+)
"YOGA, CYCLING, …",DEFINE body & mind,"714 Yale St, Suite 200, Houston",4.8,(5000+)
"CYCLING, BOXING",VORTEX,"1707 West Gray, Houston",4.8,(5000+)
PILATES,Re/forme lagree fitness,"1737 W 34th St, Houston",4.9,(5000+)
"YOGA, CYCLING, …",DEFINE,"2518 Bissonnet St, Houston",4.8,(5000+)
STRENGTH TRAINING,HIP Fitness,"2294 W Holcombe Blvd, Houston",4.8,(5000+)
"GYM TIME, STRENGTH TRAINING",Facet Seven Fitness - Heights,"2215 Lawrence St, Studio Fitness Heights, Houston",4.8,(5000+)
"PILATES, STRENGTH TRAINING",Fyre Fitness,"300 N Loop , Suite 150, Houston",4.9,(1000+)
PILATES,Boost Pilates,"6733 Stella Link Rd, West University Place",4.9,(5000+)
YOGA,BIG Power Yoga,"1014 Wirt Rd, Suite 290, Houston",4.9,(5000+)
CYCLING,RIDE Indoor Cycling,"1950 Hughes Landing Blvd, #1500, The Woodlands",4.9,(5000+)
"YOGA, CYCLING, …",DEFINE,"5781 San Felipe St, Houston",4.8,(5000+)
"YOGA, CYCLING, …",Empower Fitness Lab,"1005 Sawyer St, Houston",4.8,(5000+)
PILATES,Defy Pilates - Bellaire,"4900 Bissonnet St, Bellaire",4.8,(5000+)
CYCLING,RYDE,"802 Rusk St, Suite 136, Houston",4.8,(5000+)
"YOGA, CYCLING, …",Revolution Studio,"821 Frostwood Dr, Houston",4.8,(5000+)
RUNNING,RacePace,"1502 Sawyer St, Houston",4.9,(5000+)
DANCE,Dance House Fitness,"246 W 19th St, Houston",4.9,(1000+)
PILATES,Body Rock Pilates,"3460 Ella Blvd, Houston",4.8,(5000+)
YOGA,YogaWorks,"548 W 19th St, Houston",4.7,(5000+)
"YOGA, CYCLING, …",DEFINE,"4747 Research Forest Dr, Suite 100, The Woodlands",4.9,(1000+)
PILATES,Method Pilates - Montrose,"805 Rhode Pl, 400, Houston",4.9,(1000+)
"YOGA, CYCLING, …",Revolution Studio,"2125 Lone Star Dr, Sugar Land",4.9,(1000+)
YOGA,YogaWorks,"2100 Travis Street, Suite 105, Houston",4.8,(5000+)
CYCLING,RIDE Indoor Cycling,"3827 Bellaire Boulevard, Houston",4.9,(1000+)
PILATES,713 Pilates,"705 W Alabama St, Houston",4.9,(5000+)
"YOGA, CYCLING, …",DEFINE: Memorial Green,"12525 Memorial Dr, Houston",4.8,(1000+)
BARRE,Pure Barre,"1436 Studewood Street, Houston",4.8,(1000+)
"YOGA, CYCLING, …",DEFINE: Bellaire,"6700 Ferris St, Bellaire",4.8,(1000+)
STRENGTH TRAINING,The League,"2219 W 34th St, Suite B, Houston",4.9,(5000+)
"YOGA, CYCLING, …",Empower Fitness Lab,"5709 Woodway Dr, STE C, Houston",4.9,(5000+)
YOGA,BEYOGA,"718 W 18th St, Houston",4.9,(1000+)
PILATES,Wicked Core,"3555 Rayford Rd, Suite 15, Spring",4.9,(1000+)
ROWING,Row Studios,"5570 Weslayan St, Behind Randalls Shopping Center, Houston",4.8,(5000+)
YOGA,Yogaleena,"2621 S Shepherd Dr, Suite 230, Houston",4.8,(1000+)
YOGA,YogaWorks,"5427 Bellaire Blvd, Bellaire",4.7,(1000+)
PILATES,Method Pilates - Rice,"5313 Morningside Dr, Houston",4.8,(1000+)
PILATES,Citizen Pilates,"940 Heights Blvd, Houston",4.8,(5000+)
BOXING,TITLE Boxing Club,"3100 Fannin St, Suite 110, Houston",4.9,(1000+)
PILATES,Wicked Core,"25219 Kuykendahl Rd, Tomball",4.9,(1000+)
GYM TIME,Facet Seven Fitness - Eado,"1005 Ennis St, Houston",4.8,(1000+)
PILATES,Citizen Pilates,"3217 Houston Ave, Houston",4.9,(1000+)
PILATES,HIP Fitness,"1525 Lake Pointe Parkway Suite 500, Sugar Land",4.9,(500+)
YOGA,Hot Yoga Houston,"2438 South Blvd, Houston",4.8,(1000+)
DANCE,Dance House Fitness,"1839 Richmond Ave, Houston",4.8,(1000+)
YOGA,YogaWorks,"9595 Six Pines Dr, Spring",4.8,(1000+)
