STRENGTH TRAINING,Training Mate,"7825 Santa Monica Blvd, West Hollywood",5.0,(5000+)
STRENGTH TRAINING,Training Mate,"12429 Ventura Blvd, Los Angeles",4.9,(5000+)
YOGA,sweat yoga,"702 Arizona Ave, Santa Monica",4.9,(5000+)
CYCLING,Cycle House,"8511 Melrose Ave, West Hollywood",4.9,(5000+)
YOGA,sweat yoga,"12105 E Waterfront Dr, Los Angeles",4.9,(5000+)
"STRENGTH TRAINING, ROWING",LIT Method,"*NEW LOCATION*, 358 La Cienega Blvd, Los Angeles",4.9,(5000+)
RUNNING,Circuit Works,"2005 Main St, Santa Monica",4.9,(5000+)
PILATES,Carrie's Pilates Plus,"7960 W 3rd St, Los Angeles",4.9,(5000+)
"YOGA, BOXING",IRON Fitness,"1919 Broadway, Santa Monica",4.9,(5000+)
PILATES,Pilates Plus,"2630 Hyperion Ave, Los Angeles",4.9,(5000+)
BOXING,BoxUnion,"1755 Ocean Ave, Santa Monica",4.9,(5000+)
BOXING,BoxUnion,"120 North Robertson Boulevard, Los Angeles",4.9,(5000+)
"STRENGTH TRAINING, RUNNING",Barry's Bootcamp,"1500 South Lincoln Blvd, Venice, Los Angeles",4.9,(5000+)
CYCLING,GritCycle,"3850 Worsham Ave, Suite 430, Lakewood",4.9,(5000+)
STRENGTH TRAINING,Bunda,"8231 W 3rd St, Los Angeles",4.9,(5000+)
PILATES,Mighty Pilates,"625 Montana Ave, Suite M, Santa Monica",4.9,(5000+)
"YOGA, CYCLING",Hype,"1932 Hyperion Ave, Los Angeles",4.8,(5000+)
CYCLING,CycleBar,"4130 Sepulveda Blvd, Culver City",4.9,(5000+)
YOGA,Modo Yoga LA,"1755 Glendale Blvd, Los Angeles",4.9,(5000+)
"YOGA, CYCLING, …",Set and Flow,"1619 N La Brea Ave, Los Angeles",4.8,(5000+)
STRENGTH TRAINING,Rise Nation,"613 N La Cienega Blvd, West Hollywood",4.9,(5000+)
"STRENGTH TRAINING, ROWING",Training Mate,"1454 Lincoln Boulevard, Santa Monica",4.9,(5000+)
PILATES,Natural Pilates,"11638 Barrington Ct, Los Angeles",4.9,(5000+)
PILATES,dr pilates - Larchmont,"418 N Larchmont Blvd, Los Angeles",4.8,(5000+)
YOGA,Y7 Studio,"4300 Sunset Blvd, Los Angeles",4.8,(5000+)
YOGA,Y7 Studio,"8270 Melrose Ave, Los Angeles",4.9,(5000+)
STRENGTH TRAINING,Sweat Garage,"801 N Fairfax Ave, Ste 104, Los Angeles",4.9,(5000+)
PILATES,Lagree Fitness Studio,"375 N La Cienega Blvd, Suite 1, Los Angeles",4.9,(5000+)
YOGA,Modo Yoga LA,"340 S La Brea Ave, Los Angeles",4.9,(5000+)
PILATES,dr pilates - Wilshire,"5480 Wilshire Blvd, Los Angeles",4.9,(5000+)
"STRENGTH TRAINING, RUNNING",Barry's Bootcamp,"6201 Hollywood Blvd, Suite 110, Los Angeles",4.9,(5000+)
YOGA,Kinship Yoga,"5612 N Figueroa St, Los Angeles",4.9,(5000+)
STRENGTH TRAINING,HIIT House LA,"413 S Fairfax Ave, Los Angeles",4.9,(5000+)
PILATES,Hot Pilates,"8604 Sunset Blvd, West Hollywood",4.9,(5000+)
BOXING,Prevail Boxing,"5957 W 3rd St, Los Angeles",4.9,(5000+)
DANCE,Body by Simone,"137 S Barrington Pl, Los Angeles",4.9,(5000+)
"STRENGTH TRAINING, RUNNING",Barry's Bootcamp,"1106 N La Cienega Blvd, West Hollywood",4.9,(5000+)
STRENGTH TRAINING,Sanctuary Fitness,"718 Jackson St, Los Angeles",4.9,(5000+)
PILATES,EDEN by Eden Sassoon Pilates,"109 N La Cienega Blvd, Beverly Hills",4.9,(5000+)
"PILATES, RUNNING",Fitmix Studio,"3104 Glendale Blvd, Los Angeles",4.9,(5000+)
PILATES,Speir Pilates,"1427 7th St, Santa Monica",4.9,(5000+)
PILATES,Mighty Pilates,"13727 Ventura Blvd, Los Angeles",4.8,(5000+)
YOGA,Love Yoga Venice,"835 Lincoln Blvd, Los Angeles",4.8,(5000+)
STRENGTH TRAINING,The Studio (MDR),"13357 W Washington Blvd, Los Angeles",4.9,(5000+)
STRENGTH TRAINING,Double Ops Functional Training,"1317 7th St, Suite B, Santa Monica",4.9,(5000+)
"STRENGTH TRAINING, BOXING",CruBox,"8453 Melrose Ave, West Hollywood",4.9,(5000+)
"STRENGTH TRAINING, RUNNING",Burn 60 Studios,"8969 Santa Monica Blvd, West Hollywood",4.9,(5000+)
DANCE,Body By Simone,"8625 Santa Monica Blvd, West Hollywood",4.9,(5000+)
PILATES,Pilates Platinum,"1907 S Lincoln Blvd, Los Angeles",4.8,(5000+)
