"STRENGTH TRAINING, RUNNING",Mile High Run Club,"24 W 25th St, New York",4.9,(5000+)
"STRENGTH TRAINING, RUNNING",Mile High Run Club,"28 E 4th St, New York",4.9,(5000+)
STRENGTH TRAINING,Switch Playground USA,"130 E 12th St, New York",4.8,(5000+)
STRENGTH TRAINING,Switch Playground USA,"180 6th Ave, New York",4.8,(5000+)
BOXING,Overthrow Boxing Club,"256 Grand St, Brooklyn",4.9,(5000+)
CYCLING,Flywheel Sports: Stadium Cycling,"51 Astor Pl, New York",4.8,(5000+)
STRENGTH TRAINING,NYSC Lab (featuring BFX),"555 Avenue of the Americas, New York",4.8,(5000+)
"STRENGTH TRAINING, RUNNING",Mile High Run Club,"1251 Lexington Avenue, New York",4.9,(5000+)
STRENGTH TRAINING,The Fhitting Room,"31 W 19th St, New York",4.9,(5000+)
STRENGTH TRAINING,The Fhitting Room,"584 Columbus Ave, New York",4.9,(5000+)
CYCLING,Cyc Fitness,"700 8th Ave, New York",4.8,(5000+)
CYCLING,Flywheel Sports: Stadium Cycling,"173 N 3rd St, Brooklyn",4.8,(5000+)
BARRE,Physique 57,"2109 Broadway, Suite 206, New York",4.8,(5000+)
BARRE,Physique 57,"180 6th Ave, New York",4.8,(5000+)
BARRE,Physique 57,"55 Broadway, Ste 1601, New York",4.8,(5000+)
"PILATES, STRENGTH TRAINING",NEW YORK PILATES,"262 Bowery, New York",4.8,(5000+)
YOGA,Laughing Lotus,"636 Ave of the Americas, 3rd Floor (entrance on 19th St between 5/6 AVE), New York",4.8,(5000+)
BARRE,SHAKTIBARRE,"449 Keap St, Brooklyn",4.8,(5000+)
STRENGTH TRAINING,Tabata Ultimate Fitness,"1089 Pacific Street, Brooklyn",4.9,(5000+)
STRENGTH TRAINING,The Fhitting Room,"201 E 67th St, 5th Floor, New York",4.9,(5000+)
CYCLING,Cyc Fitness,"201 E 71st St, New York",4.8,(5000+)
YOGA,Y7 Studio,"170 S 1st St, Brooklyn",4.8,(5000+)
STRENGTH TRAINING,Liftonic,"13 Gansevoort St, New York",4.8,(5000+)
BARRE,barre3,"63 W 8th St, 2nd floor, New York",4.8,(5000+)
CYCLING,Flywheel Sports: Stadium Cycling,"420 Park Ave S, New York",4.8,(5000+)
CYCLING,Cyc Fitness,"555 Ave of the Americas, New York",4.8,(5000+)
PILATES,BODYROK,"10 W 18th St, 2nd Floor, New York",4.8,(5000+)
BOXING,Overthrow Boxing Club,"9 Bleecker St, New York",4.8,(5000+)
YOGA,Y7 Studio,"1459 3rd Ave, New York",4.8,(5000+)
BOXING,Shadowbox,"28 West 20th Street, New York",4.8,(5000+)
STRENGTH TRAINING,Exceed Physical Culture,"97 Reade St, New York",4.8,(5000+)
DANCE,JANE DO,"162 Newark Ave, Jersey City",4.8,(5000+)
CYCLING,Flywheel Sports: Stadium Cycling,"245 W 17th St, New York",4.8,(5000+)
BARRE,Physique 57,"24 W 57th St, Suite 805, New York",4.8,(5000+)
CYCLING,SWERVE Fitness,"21 W 46th St, New York",4.8,(5000+)
YOGA,Jewel City Yoga,"660 Franklin Ave, Brooklyn",4.8,(5000+)
"YOGA, STRENGTH TRAINING",VERAYOGA,"406 Broadway, New York",4.8,(5000+)
"PILATES, STRENGTH TRAINING",NEW YORK PILATES,"124 West Houston Street, New York",4.8,(5000+)
"MARTIAL ARTS, STRENGTH TRAINING, …",Hit House,"2 Spring St, New York",4.9,(5000+)
STRENGTH TRAINING,Fitness Evolved,"458 5th Ave, Brooklyn",4.9,(5000+)
CYCLING,Prime Cycle,"70 Hudson St, Hoboken",4.8,(5000+)
STRENGTH TRAINING,Form50 Fitness,"31-57 31st St, Queens",4.9,(5000+)
STRENGTH TRAINING,BRICK Grand Central,"465 Lexington Ave, New York",4.8,(5000+)
STRENGTH TRAINING,Exceed Physical Culture,"1477 3rd Ave, New York",4.8,(5000+)
YOGA,Powerflow Yoga,"160 Morgan St, Jersey City",4.8,(5000+)
YOGA,Tangerine,"225 Schermerhorn St, Brooklyn",4.8,(5000+)
CYCLING,Flywheel Sports: Stadium Cycling,"415 Greenwich St, New York",4.8,(5000+)
YOGA,Y7 Studio,"250 East Houston Street, New York",4.8,(5000+)
"STRENGTH TRAINING, RUNNING",Barry's Bootcamp,"419 Lafayette St, New York",4.8,(5000+)
"STRENGTH TRAINING, RUNNING",Barry's Bootcamp,"135 West 20th St, New York",4.8,(5000+)
CYCLING,Flywheel Sports: Stadium Cycling,"39 W 21st St, New York",4.8,(5000+)
