CYCLING,Flywheel Sports: Stadium Cycling,"1521 Locust St, Philadelphia",4.9,(5000+)
"CYCLING, STRENGTH TRAINING, …",Unite Fitness,"26 S 20th St, Philadelphia",4.9,(5000+)
BOXING,Everybodyfights,"1900 Market Street, Philadelphia",4.9,(5000+)
PILATES,Freehouse Fitness Studio,"1430 South St, Philadelphia",4.9,(5000+)
STRENGTH TRAINING,BPM Fitness,"1808 Spring Garden St, Philadelphia",4.9,(5000+)
"CYCLING, STRENGTH TRAINING, …",Unite Fitness,"105 S 12th St, Philadelphia",4.9,(5000+)
BARRE,barre3,"1500 Sansom St, Philadelphia",4.9,(5000+)
STRENGTH TRAINING,RippedPHL,"1519 Walnut St, Philadelphia",4.9,(5000+)
YOGA,CorePower Yoga,"1616 Walnut St, Lower Level, Philadelphia",4.8,(5000+)
BARRE,barre3,"1149 Lancaster Ave, Bryn Mawr",4.9,(5000+)
PILATES,Sculpt360,"777 S Broad St, Suite 3, Philadelphia",4.9,(5000+)
"YOGA, BARRE",Focus Barre and Yoga,"1923 Chestnut St, 3rd Floor, Philadelphia",4.8,(5000+)
"PRENATAL, YOGA",Three Queens Yoga,"410 Monroe St, Philadelphia",4.9,(5000+)
"PILATES, STRENGTH TRAINING",[solidcore],"2116 Chestnut St, Philadelphia",4.8,(5000+)
YOGA,Priya Hot Yoga,"1828 Callowhill St, Philadelphia",4.8,(5000+)
"PILATES, STRENGTH TRAINING",[solidcore],"915 West Lancaster Avenue, Bryn Mawr",4.9,(5000+)
"YOGA, BARRE",Lumos Yoga and Barre,"2001 Green St, Philadelphia",4.8,(1000+)
YOGA,Philly Power Yoga,"2016 Walnut St, Philadelphia",4.8,(5000+)
"PILATES, STRENGTH TRAINING",[solidcore],"725 Chestnut St, Philadelphia",4.9,(5000+)
"YOGA, BARRE",Mind Over Matter,"110 North 2nd Street, Philadelphia",4.9,(1000+)
YOGA,Amrita Yoga and Wellness,"1204 Frankford Ave, Philadelphia",4.8,(5000+)
"CYCLING, BARRE",SoulBeat Spin and Barre Studio,"2832 Audubon Village Dr, Norristown",4.9,(1000+)
YOGA,Grace & Glory Yoga,"2220 Frankford Ave, Philadelphia",4.9,(1000+)
STRENGTH TRAINING,RippedPHL,"220 Haddonfield Road, Cherry Hill",4.9,(1000+)
ROWING,RowZone Rittenhouse Indoor Rowing & Fitness,"2006 Chestnut St, Philadelphia",4.9,(5000+)
BARRE,Barre Focus Fitness,"510 West Lancaster Avenue, Haverford",4.9,(1000+)
YOGA,Hot Yoga Philadelphia,"1520 Sansom St, 3rd Floor, Philadelphia",4.8,(5000+)
CYCLING,Revel Ride,"1632 South St, Philadelphia",4.9,(1000+)
YOGA,Hotbox Yoga,"4163 Main St, Philadelphia",4.8,(1000+)
YOGA,Mama's Wellness Joint,"1100 Pine St, Philadelphia",4.9,(1000+)
PILATES,Thrive Pilates,"2016 Walnut St, Philadelphia",4.7,(5000+)
YOGA,Maha Yoga,"1700 Sansom St, Philadelphia",4.8,(1000+)
CYCLING,Chestnut Hill Cycle Fitness,"89 Bethlehem Pike, Philadelphia",4.8,(1000+)
CYCLING,Cycle Brewerytown,"2800 W Girard Ave, Philadelphia",4.9,(1000+)
"CYCLING, BARRE",The Wall Cycling Studio,"107 Cotton St, Philadelphia",4.8,(1000+)
YOGA,CorePower Yoga,"921 Haddonfield Rd, Bldg B3 Suite 2A, Cherry Hill",4.8,(1000+)
YOGA,Yoga Home,"424 E Elm St, Conshohocken",4.8,(1000+)
"PILATES, STRENGTH TRAINING",SLT,"1625 Walnut Street (Entrance on Moravian St.), Philadelphia",4.8,(1000+)
BARRE,RISE Barre & Fitness,"821 N Bethlehem Pike, Spring House",4.9,(1000+)
"YOGA, CYCLING",Upcycle Fitness,"716 Haddon Ave, Collingswood",4.7,(1000+)
BARRE,TRUBarre,"651 Germantown Pike, Lafayette Hill",4.8,(1000+)
CYCLING,Fuel Cycle Fitness,"53 Rittenhouse Pl, Ardmore",4.9,(1000+)
"YOGA, PILATES, …",Amrita Yoga,"2306 South Street, Philadelphia",4.8,(500+)
STRENGTH TRAINING,Never Give Up Training,"4368 Cresson St, Suite C, Philadelphia",4.8,(1000+)
YOGA,JTown Hot Yoga,"115 Levering St, Philadelphia",4.9,(1000+)
"YOGA, CYCLING, …",Focus Fitness of the Main Line,"1111 East Lancaster Avenue, Bryn Mawr",4.8,(500+)
BARRE,Barre3,"970 Dekalb Pike, Blue Bell",4.9,(1000+)
"MEDITATION, YOGA",Sanctuary Yoga and Mindfulness,"1233 Locust St, Philadelphia",4.8,(1000+)
STRENGTH TRAINING,ZAKTi Fitness,"744 S 4th St, Philadelphia",4.9,(1000+)
BARRE,Allongée,"232 Market St, Philadelphia",4.8,(1000+)
STRENGTH TRAINING,Fit Academy,"1363 N 31st St, Philadelphia",4.9,(1000+)
BOXING,Red Condition Fitness,"325 Bainbridge Street, Philadelphia",4.9,(500+)
STRENGTH TRAINING,OpenBox Athletics,"1931 Washington Ave, Philadelphia",4.9,(1000+)
BARRE,barre3,"579 Lancaster Ave, Berwyn",4.8,(1000+)
DANCE,Optimal Sport 1315,"1315 Walnut St, Philadelphia",4.7,(1000+)
DANCE,Philly Dance Fitness,"1624 South St, Philadelphia",4.7,(1000+)
STRENGTH TRAINING,Balance Chestnut Hill,"12 W Willow Grove Ave, Philadelphia",4.9,(1000+)
"YOGA, ROWING",Rebel,"8020 Germantown Ave, Philadelphia",4.8,(1000+)
YOGA,Dana Hot Yoga,"244 Bala Ave, Bala Cynwyd",4.7,(1000+)
MEDITATION,Twisters Wellness Center,"717 Bethlehem Pike, Erdenheim",4.8,(1000+)
"YOGA, BARRE",Tuck Barre & Yoga,"3400 Lancaster Avenue Suite #6, Philadelphia",4.8,(500+)
"PRENATAL, YOGA",Shanti Yoga and Ayurveda,"1638 Pine St, 1st Floor, Philadelphia",4.8,(1000+)
YOGA,Hotbox Yoga,"3527 Lancaster Ave, Philadelphia",4.8,(1000+)
ROWING,RowZone Manayunk Indoor Rowing & Fitness,"4401 E Main St, Philadelphia",4.8,(1000+)
STRENGTH TRAINING,KG Strong,"1901 S 9th St, Room 206 B, Philadelphia",4.9,(500+)
STRENGTH TRAINING,Train And Nourish,"1621 East Passyunk Ave., Philadelphia",5.0,(100+)
YOGA,JTown Hot Yoga,"409 Old York Rd, Jenkintown",4.8,(500+)
"YOGA, BARRE",Pop Fit Studio,"1305 West Chester Pike, Havertown",4.9,(100+)
YOGA,Yoga Brain,"3426 Conrad Street C4, Philadelphia",4.8,(100+)
GYM TIME,AFC Fitness,"601 Righters Ferry Rd, Bala Cynwyd",4.8,(500+)
YOGA,Bikram Yoga West Philly,"4145 Chestnut St, Philadelphia",4.8,(500+)
YOGA,Nava Yoga Center,"1200 Constitution Ave, Philadelphia",4.9,(500+)
PILATES,Urban Front Pilates,"1700 Sansom St, Suite 200, Philadelphia",4.7,(1000+)
"YOGA, PILATES",Sculpere Studio,"209 Poplar St, Philadelphia",4.8,(500+)
BARRE,Remix Fitness,"116 Welsh Rd, Horsham",4.8,(100+)
"YOGA, BARRE",Yoga Hive Philly,"1914 E Passyunk Ave, Philadelphia",4.7,(500+)
YOGA,Wake Up Yoga,"1839 E Passyunk Ave, Philadelphia",4.7,(500+)
PILATES,Body Precision,"28 Garrett Ave, Bryn Mawr",4.8,(500+)
STRENGTH TRAINING,CoreFitness,"2600 Benjamin Franklin Pkwy, Philadelphia",4.9,(500+)
STRENGTH TRAINING,Club La Maison,"215 Sugartown Rd, Wayne",4.6,(500+)
STRENGTH TRAINING,Fit Academy Rittenhouse,"1923 Chestnut Street, Philadelphia",4.8,(100+)
YOGA,Wake Up Yoga,"2030 Sansom St, 3rd Floor, Philadelphia",4.8,(500+)
STRENGTH TRAINING,Fit Tribe,"1021 Lancaster Ave, Bryn Mawr",4.8,(100+)
"YOGA, CYCLING, …",Aim High Studio,"3015 West Germantown Pike, Norristown",4.7,(100+)
CYCLING,Elkins Spark Fitness,"yorktown Plaza, Elkins Park",4.9,(100+)
CYCLING,RIDE Cycle Studio,"341 Haddon Avenue, Haddon Township",4.8,(100+)
CYCLING,Cycle Zone of Collegeville,"50 W 3rd Ave, Suite 207, Collegeville",4.7,(500+)
"YOGA, BARRE",Good Karma Yoga and Barre,"55 State Rd, Media",4.9,(100+)
YOGA,Kaya Aerial Yoga,"225 Quarry St, Philadelphia",4.7,(1000+)
GYM TIME,Retro Fitness,"1500 Spring Garden St, Philadelphia",4.7,(100+)
"YOGA, CYCLING, …",Bria Method,"720 Johnsville Boulevard, Unit 11, Warminster",5.0,(85)
"STRENGTH TRAINING, DANCE",Mastah Tee Fitness,"1170 South Broad Street, Philadelphia",4.9,(100+)
"YOGA, BARRE",Y2B Fit,"7101 Emlen St, Philadelphia",4.7,(100+)
DANCE,DanceFit,"98 Bethlehem Pike, Philadelphia",4.8,(100+)
YOGA,Wake Up Yoga,"2329 Parrish St, Philadelphia",4.7,(100+)
YOGA,Teranga Yoga,"626 S. 7th Street, Philadelphia",4.9,(100+)
"YOGA, BARRE",Royal Fitness,"22 E. Gloucester Pike, Barrington",4.7,(100+)
YOGA,Voorhees,"9107 Town Center Blvd, Voorhees Township",4.8,(100+)
YOGA,Blue Banyan Yoga,"7153 Sprague St, Philadelphia",4.8,(100+)
GYM TIME,Revolution Fitness Factory,"1516 N 5th St, #104, Philadelphia",4.8,(100+)
YOGA,Positivity Yogis,"31 S Eagle Rd, Havertown",4.8,(100+)
"PILATES, STRENGTH TRAINING",[solidcore],"180 West Girard Avenue, Philadelphia",4.8,(100+)
STRENGTH TRAINING,Fire For Effect Athletics,"123 Leverington Ave, Philadelphia",4.9,(100+)
YOGA,Nourishing Storm,"124 N York Rd, Hatboro",4.8,(100+)
CRYOTHERAPY,Restore Cryosauna,"205 West Lancaster Avenue, #3, Wayne",4.9,(100+)
PILATES,LSF Pilates,"245 Conestoga Rd, Wayne",4.8,(100+)
CRYOTHERAPY,Restore Cryosauna,"379 Lancaster Avenue, #14, Haverford",4.9,(100+)
BOXING,FightFit FightStrong Kickboxing,"826 N Broad St, Philadelphia",4.9,(100+)
YOGA,Dhyana Yoga,"1611 Walnut St, 4th Fl DY RITTENHOUSE/CENTER CITY, Philadelphia",4.8,(1000+)
"PILATES, BARRE",Twisters Wellness Center,"131 E Butler Ave, Ambler",4.7,(100+)
"YOGA, MARTIAL ARTS",Philly Hot Asana,"233 North 12th Street, Philadelphia",4.8,(100+)
BOXING,TITLE Boxing Club,"2101 Market Street, Philadelphia",4.8,(100+)
YOGA,Flower Garden Yoga,"222 E Main St, Collegeville",4.7,(100+)
GYM TIME,Anytime Fitness,"1640 Fairmount Ave, Suite 3, Philadelphia",4.8,(100+)
DANCE,Salsa In The Suburbs Dance Studio,"1245 N Providence Rd, Media",4.9,(100+)
"YOGA, STRENGTH TRAINING",MovementRx Studio,"333 East Lancaster Avenue, Ardmore",4.9,(100+)
STRENGTH TRAINING,Subversus Fitness,"1229 Chestnut St, Philadelphia",4.8,(500+)
DANCE,The Performance Garage,"The Performance Garage, 1515 Brandywine St., Philadelphia",4.8,(100+)
STRENGTH TRAINING,MLS Fitness,"25 Haverford Station Rd, Haverford",4.8,(100+)
YOGA,Philly Yoga Factory,"1520 Sansom St, Philadelphia",4.6,(500+)
STRENGTH TRAINING,Sundasport Kettlebell Club,"631 Summit Ave, Philadelphia",5.0,(53)
STRENGTH TRAINING,Palangi Plus,"101 Pine St. , Holmes",4.7,(100+)
MEDITATION,Riva Health + Wellness,"1 Brown St, Philadelphia",4.6,(500+)
"AERIAL, YOGA, …",Flaunt Fitness,"1939 S 17th St, 2nd Floor, Philadelphia",4.9,(45)
YOGA,Fearless Athletics,"744 S 11th St, Philadelphia",4.8,(100+)
PILATES,Pilates Plus Restoration Studio,"151 W Greentree Rd, Evesham Township",4.8,(77)
"STRENGTH TRAINING, BOXING",Mixx Fitness Conshy,"1950 Main Avenue , Suite #3, Conshohocken",4.8,(64)
MARTIAL ARTS,Philly Self Defense,"1333 N Front St, Philadelphia",4.9,(66)
YOGA,Collegeville Yoga Bar,"50 2nd Ave, Suite 3, Collegeville",4.5,(100+)
YOGA,Unity Yoga,"4363 Main Street, Philadelphia",4.7,(56)
YOGA,Roots Philly Yoga Project,"440 N 10th St, Philadelphia",4.9,(100+)
YOGA,Graduate Hospital,"724 South 20th Street, Philadelphia",4.8,(72)
"CYCLING, DANCE",SMART Fitness,"2499 N 50th St, Philadelphia",4.8,(64)
"PILATES, STRENGTH TRAINING",Fuel House Fitness Studio,"4912 Pennell Rd, Aston",4.8,(100+)
STRENGTH TRAINING,SmileyFitNation,"1923 Chestnut Street, 4th Floor, Philadelphia",4.7,(100+)
STRENGTH TRAINING,Crossfit Love,"941 N Front St, Philadelphia",4.8,(100+)
BOXING,CKO Kickboxing,"1558 Kings Hwy N, Cherry Hill",4.7,(79)
