STRENGTH TRAINING,BODI,"6820 E 5th Ave, Scottsdale",4.9,(5000+)
BOXING,TITLE Boxing Club,"3031 E Indian School Rd, Phoenix",5.0,(1000+)
YOGA,Sweatshop On Central,"100 E Camelback Rd, Phoenix",4.8,(5000+)
PILATES,The Body Lab Pilates,"4414 E Camelback Rd, Ste A-106, Phoenix",4.9,(5000+)
"YOGA, STRENGTH TRAINING",TruFusion,"14202 N Scottsdale Rd, Scottsdale",4.8,(5000+)
PILATES,BURN Total Body Conditioning,"7620 E Indian School Rd, Scottsdale",4.9,(5000+)
YOGA,The Biltmore Studio,"2107 E Camelback Rd, Suite A-18, Phoenix",4.9,(1000+)
YOGA,Modern Yoga,"9619 N Hayden Rd, Suite 112, Scottsdale",4.9,(1000+)
PILATES,The Body Lab Pilates,"21001 N Tatum Blvd, Suite U7, Phoenix",4.9,(1000+)
"PILATES, BARRE",Remedy Pilates and Barre,"3629 East Indian School Road, Phoenix",4.9,(1000+)
CYCLING,CycleBar,"7000 E Mayo Blvd, Phoenix",4.9,(1000+)
BARRE,barre3,"6107 N Scottsdale Rd, #108, Scottsdale",4.9,(1000+)
BARRE,barre3,"15551 N Greenway Hayden Loop, Suite 120, Scottsdale",4.9,(1000+)
BARRE,Pure Barre,"4219 E Indian School Rd, Phoenix",4.9,(1000+)
STRENGTH TRAINING,Team Forty-Four,"3744 E Indian School Rd, Phoenix",5.0,(1000+)
PILATES,BURN Total Body Conditioning,"5600 N 7th St, Phoenix",4.9,(1000+)
YOGA,Metta Yoga,"4041 E Thomas Rd., Phoenix",4.8,(1000+)
YOGA,Hot Yoga Workout,"6060 N 16th St, Phoenix",4.9,(1000+)
BARRE,Pure Barre,"5505 N 7th St, Phoenix",4.8,(1000+)
BOXING,Jabz Boxing,"5512 N 7th Ave, Phoenix",5.0,(1000+)
YOGA,Sumits Yoga,"350 E Bell Rd, Suite 10, Phoenix",4.9,(1000+)
STRENGTH TRAINING,Fit 6-7-8,"4258 N Brown Ave, Scottsdale",4.9,(500+)
BARRE,Remedy Pilates and Barre,"6949 E Shea Blvd, Scottsdale",4.9,(1000+)
YOGA,ONE TRIBE Yoga & Wellness,"1006 East Warner Road #111, Tempe",4.9,(500+)
YOGA,True Hot Yoga,"14676 N Frank Lloyd Wright Blvd, Scottsdale",4.8,(1000+)
GYM TIME,Youfit Health Clubs,"2845 N Scottsdale Rd, Suite 160, Scottsdale",4.9,(500+)
YOGA,Laughing Buddha Yoga,"5025 S Ash Ave, #B16, Tempe",4.9,(1000+)
STRENGTH TRAINING,Levels Fitness and Nutrition,"7607 E McDowell Rd, #107, Scottsdale",4.9,(500+)
CYCLING,CycleBar,"2470 W Happy Valley Rd, Phoenix",4.8,(500+)
BARRE,Tribe Barre Studio,"5540 E Broadway Rd, Mesa",5.0,(100+)
BARRE,Pure Barre,"1854 S Val Vista Dr, Mesa",4.8,(500+)
PILATES,Studio Verve,"3172 E Indian School Rd, Phoenix",4.8,(1000+)
GYM TIME,Youfit Health Clubs,"1515 Bethany Home Rd, Phoenix",4.8,(100+)
YOGA,Nrysh,"600 North 4th Street #141, Phoenix",4.9,(100+)
PILATES,Pilates Tempe,"8729 S Kyrene Rd, Tempe",4.9,(500+)
BOXING,Jabz Boxing,"8989 E Vía Linda, #115, Scottsdale",4.9,(500+)
YOGA,Desert Air Yoga,"13610 North Scottsdale Road, Suite 11, Scottsdale",4.9,(500+)
YOGA,Sumits Yoga,"4080 West Ray Road Suite 23, Chandler",4.9,(100+)
YOGA,Twisted Yoga Studios,"937 E Broadway Rd, Tempe",4.8,(500+)
YOGA,Yoga Spot AZ,"1521 East Elliot Road, #102, Gilbert",4.9,(100+)
STRENGTH TRAINING,TruHIT Fitness,"2155 E University Dr, Tempe",4.9,(500+)
STRENGTH TRAINING,Fitwall,"18221 N Pima Rd, Suite 130, Scottsdale",4.9,(500+)
YOGA,True Hot Yoga,"20329 N 59th Ave, Glendale",4.8,(500+)
STRENGTH TRAINING,BlakSteel Fitness LLC,"3912 E Camelback Rd, Suite 3, Phoenix",4.9,(500+)
YOGA,YogaOnyx,"2824 East Indian School Road , Suite 15, Phoenix",4.9,(100+)
PILATES,ACME Pilates,"20329 North 59th Avenue, Glendale",4.8,(100+)
STRENGTH TRAINING,TriCore,"1824 E Indian School Rd, Phoenix",4.9,(100+)
BOXING,Jabz Boxing,"10880 N 32nd St, Suite 145, Phoenix",5.0,(500+)
BOXING,Jabz Boxing,"1614 E Bell Rd, Phoenix",5.0,(100+)
STRENGTH TRAINING,Triplex Training,"1825 W Chandler Blvd, Suite 7, Chandler",5.0,(100+)
YOGA,ESenEM Yoga - Scottsdale,"8220 North Hayden Road, Scottsdale",4.8,(100+)
"PILATES, BARRE",TenPoint5,"5813 N 7th Street, Suite 102, Phoenix",4.8,(100+)
BARRE,The Bar Method,"4730 E. Indian School Road Suite 207A, Phoenix",4.8,(100+)
BARRE,barre3,"24870 N. Lake Pleasant Pkwy Suite 103, Peoria",4.9,(100+)
STRENGTH TRAINING,MegaFit,"940 N 54th St, #200, Chandler",4.9,(1000+)
"YOGA, PILATES",The Foundry Yoga,"7620 East Indian School Road 115, Scottsdale",4.8,(100+)
BARRE,barre3,"4145 S. Gilbert Rd Suite 5, Chandler",5.0,(100+)
STRENGTH TRAINING,TruHIT Fitness,"4302 E Ray Rd, ste 109-112 , Phoenix",4.9,(500+)
YOGA,DCFit AZ,"1121 W Warner Rd, Tempe",4.9,(100+)
"CYCLING, STRENGTH TRAINING",HUB Fitness,"14647 South 50th Street, Suite 181, Phoenix",5.0,(100+)
"YOGA, PILATES",Power Core Plus,"4210 E Baseline Rd, Mesa",4.9,(100+)
STRENGTH TRAINING,TruHIT Fitness,"20830 N 25th Pl, Phoenix",4.8,(100+)
YOGA,B MVMNT,"7432 East Tierra Buena Lane 201, Scottsdale",4.8,(100+)
YOGA,Spirit Of Yoga,"1420 E Southern Ave, Tempe",4.8,(100+)
CYCLING,RPM Spin,"20831 N Scottsdale Rd, Suite 107, Scottsdale",4.7,(500+)
STRENGTH TRAINING,Infinity Fitness AZ,"7498 E Monte Cristo Ave, Scottsdale",4.8,(100+)
YOGA,Yoga Pura,"15440 N 7th St, Phoenix",4.8,(100+)
STRENGTH TRAINING,Built By Braden,"6522 N 16th St, Phoenix",4.8,(100+)
BARRE,TenPoint5,"2334 N. Scottsdale Rd., Ste A129, Scottsdale",4.9,(100+)
BARRE,FitBarre,"4663 E Cactus Rd, #3A09, Phoenix",4.8,(500+)
YOGA,Yoga Pulse Studio,"342 N Val Vista Dr, Ste #102, Mesa",4.7,(100+)
YOGA,Yoga on the Rocks,"16447 N 91st St, Suite 105, Scottsdale",4.8,(100+)
YOGA,Yoga Village,"8241 E Evans Rd, Scottsdale",4.8,(100+)
"STRENGTH TRAINING, RUNNING",After It Training,"250 W Baseline Rd, Tempe",4.8,(100+)
"YOGA, BARRE",Re-Barre,"Windgate Crossings Shopping Center , 17060 North Thompson Peak Parkway, Suite C-115, Scottsdale",4.9,(100+)
YOGA,Bikram Yoga East Valley,"1011 N Val Vista Dr, Suite 106, Gilbert",4.8,(100+)
"PRENATAL, YOGA",Modern Milk,"13802 N Scottsdale Rd, Ste 162, Scottsdale",4.9,(100+)
STRENGTH TRAINING,Fit Body Boot Camp,"17060 N Thompson Peak Pkwy, Scottsdale",4.8,(100+)
DANCE,Alter Ego Fitness,"The Wilshire Plaza, 2515 N Scottsdale Rd, Suite 20, Scottsdale",4.8,(100+)
STRENGTH TRAINING,Back Alley CrossFit,"7816 N 12th St, Phoenix",5.0,(100+)
"YOGA, PILATES, …",The Foundry Yoga,"13637 North Tatum Boulevard, Phoenix",4.8,(99)
YOGA,Yoga Lamar,"5115 N Scottsdale Rd, Scottsdale",4.7,(500+)
YOGA,Mind Bodhi Yoga,"1301 East University Drive Suite 130, Tempe",4.8,(100+)
YOGA,Phoenix Chi Yoga,"318 N 5th Ave, Phoenix",4.6,(100+)
GYM TIME,LA Fitness,"3301 E Bell Rd, Phoenix",4.8,(92)
"MARTIAL ARTS, STRENGTH TRAINING",Bauman's Xtreme Training,"6500 N Scottsdale Rd, Suite B-1, Paradise Valley",4.9,(100+)
BARRE,Pure Barre,"10050 North Scottsdale Road 107, Scottsdale",4.8,(100+)
BOXING,Jabz Boxing,"6645 W Bell Rd, Suite 105, Glendale",5.0,(100+)
BARRE,Pure Barre,"7000 East Mayo Boulevard, Suite C-3, Phoenix",4.9,(78)
YOGA,Copper Moon Yoga,"4825 E. Warner Rd. , #11, Phoenix",4.8,(100+)
YOGA,Joyful Yoga Studio,"1721 E Warner Rd, Suite C9, Tempe",4.8,(100+)
"YOGA, PILATES, …",The Foundry Yoga,"1940 W. Rio Salado Pkwy, Mesa",4.9,(79)
YOGA,Yoga Phoenix,"1197 East Oak Street, Phoenix",4.8,(100+)
STRENGTH TRAINING,Eat The Frog Fitness,"4722 E Ray Rd , Suite 13A, Phoenix",4.8,(80)
STRENGTH TRAINING,Eat The Frog Fitness,"18529 North Scottsdale Road, Scottsdale",4.9,(92)
BOXING,Jabz Boxing,"3638 E Southern Ave, Ste. C-101, Mesa",5.0,(92)
CYCLING,Studio 360,"3627 E Indian School Rd, Suite 102, Phoenix",4.6,(100+)
"AERIAL, YOGA",Elevate Yoga & Wellness,"1001 N 3rd Ave, Suite 2, Phoenix",4.8,(100+)
BOXING,Jabz Boxing,"2335 S Lindsay Rd, Gilbert",4.9,(100+)
STRENGTH TRAINING,TruHit Fitness,"1125 W Pinnacle Peak Rd, Bldg 4, Ste #135, Phoenix",4.9,(100+)
BOXING,Jabz Boxing,"2005 W Happy Valley Rd, Phoenix",5.0,(100+)
"PILATES, STRENGTH TRAINING",Function Pilates Studio,"1840 E Warner Rd, Suite 104, Tempe",4.8,(100+)
BARRE,The Studio,"5410 E High St, Suite 107, Phoenix",4.8,(100+)
"YOGA, BARRE",Yoga for Today,"5861 S Kyrene Rd, #11, Tempe",4.9,(100+)
YOGA,Motto Yoga,"7529 South Power Road , Suite 101, Queen Creek",4.9,(66)
BOXING,Jabz Boxing,"7609 E Pinnacle Peak Rd, Scottsdale",4.9,(100+)
STRENGTH TRAINING,Anarchy Fitness,"7000 East Shea Boulevard, Suite A-1390, Scottsdale",5.0,(68)
MARTIAL ARTS,Fight Ready MMA & Fitness Gym,"8666 E Shea Blvd, Scottsdale",4.8,(89)
"CYCLING, STRENGTH TRAINING",Burn it Build It Fitness,"6239 N 7th St. Ste 102, Phoenix",4.9,(51)
STRENGTH TRAINING,Crossfit Uru,"11042 N 24th Ave, Phoenix",5.0,(58)
"YOGA, STRENGTH TRAINING",Fit Phoenix,"902 E. McKinley St., Phoenix",4.5,(84)
STRENGTH TRAINING,Funktional Fitness,"213 N Gilbert Rd, Gilbert",4.9,(100+)
"STRENGTH TRAINING, BOXING",Jabz Boxing,"7750 East McDowell Road, Ste. 101, Scottsdale",4.9,(47)
"SPORTS RECOVERY, SAUNA",Optimyze,"3728 East Indian School Road, Phoenix",4.8,(71)
"MASSAGE, FACIAL, …",Mynd Spa & Salon,"2502 East Camelback Road, Suite 215, Phoenix",4.9,(88)
ROWING,HealHop Rowing,"7375 E Stetson Dr, #202, Scottsdale",4.9,(95)
YOGA,Yoga to the People,"117 E 5th Street, Suite 101, Temp",4.7,(100+)
BOXING,9Round,"2487 S Gilbert Rd, Suite 115, Gilbert",4.7,(100+)
"CYCLING, STRENGTH TRAINING",GroupFit,"1040 South Gilbert Road , Suite 102, Gilbert",4.7,(59)
STRENGTH TRAINING,Wildfire CrossFit,"2120 E. Rose Garden Ln. , Suite C1, Phoenix",5.0,(43)
STRENGTH TRAINING,Summit Society,"3744 East Indian School Road, Phoenix",4.9,(46)
GYM TIME,Youfit Health Clubs,"1433 E Williams Field Rd, Gilbert",5.0,(46)
PILATES,Willow Wellness,"6609 N Scottsdale Rd, Scottsdale",4.6,(95)
GYM TIME,Youfit Health Clubs,"4414 W Cactus Rd, Glendale",4.9,(65)
CYCLING,CycleBar,"7001 N Scottsdale Rd., Scottsdale",4.9,(35)
YOGA,Inner Vision Yoga,"4025 E Chandler Blvd #22, Phoenix",4.8,(47)
GYM TIME,Youfit Health Clubs,"1668 N Higley Rd, Gilbert",4.8,(70)
DANCE,Jazzercise,"12228 N Cave Creek Rd, Suite 101, Phoenix",4.7,(83)
MARTIAL ARTS,MMA LAB,"2710 W. Bell Rd., Suite 1150, Phoenix",4.9,(36)
"PRENATAL, POSTNATAL","Fit4MOM -Tempe, Chandler, Gilbert","2000 E Rio Salado Pkwy , #1029, Tempe",4.9,(44)
GYM TIME,Desert Fitness,"4658 S Higley Rd, Gilbert",5.0,(43)
"YOGA, CYCLING, …",Onefire,"3145 North Dysart Road c106, Avondale",4.7,(34)
STRENGTH TRAINING,AZ on the Rocks,"16447 N. 91st Street , Suite 105, Scottsdale",5.0,(30)
GYM TIME,Anytime Fitness,"1837 W Guadalupe Rd, Mesa",4.9,(35)
