YOGA,Black Swan Yoga,"914 East Elmira Street, San Antonio",4.9,(5000+)
ROWING,EnergyX Fitness,"5162 Broadway St, Alamo Heights",4.9,(1000+)
CYCLING,JoyRide Cycling + Fitness on Broadway,"1915 Broadway St, San Antonio",4.9,(1000+)
BARRE,Smart Barre Body,"6426 N New Braunfels Ave, San Antonio",4.9,(1000+)
PILATES,Pilates Platinum,"5310 Broadway Street, San Antonio",4.9,(500+)
PILATES,Pilates Platinum,"19239 Stone Oak Pkwy, Suite 118 , San Antonio",4.9,(1000+)
CYCLING,JoyRide Cycling + Fitness at Alon,"10003 NW Military Hwy, Suite 1124, San Antonio",4.8,(1000+)
BARRE,Smart Barre Body,"10003 NW Military Hwy, Suite 3103, San Antonio",4.8,(1000+)
BARRE,Smart Barre Body,"427 North Loop 1604 W, San Antonio",4.9,(1000+)
CYCLING,Revolution,"700 E Sonterra Blvd, Suite 305, San Antonio",4.8,(1000+)
STRENGTH TRAINING,FitFusion,"2222 Breezewood Dr, San Antonio",4.9,(1000+)
CYCLING,Cycle Hub,"2222 Breezewood Dr, San Antonio",4.8,(1000+)
"YOGA, STRENGTH TRAINING",MBS Life,"1115 S Alamo St, San Antonio",4.9,(500+)
BOXING,Box Beat,"4553 North Loop 1604 W, San Antonio",5.0,(500+)
YOGA,5 Points Local,"1017 N Flores St, San Antonio",4.8,(500+)
YOGA,Half Moon Power Yoga,"4553 North Loop 1604 W, San Antonio",4.9,(100+)
CRYOTHERAPY,Restore Hyper Wellness + Cryotherapy,"427 North Loop 1604 West Suite 205, San Antonio",4.8,(100+)
BARRE,Smart Barre,"24200 West Interstate 10 Frontage Road, San Antonio",4.8,(100+)
STRENGTH TRAINING,Fit Therapy of Texas,"19141 Stone Oak Pkwy, San Antonio",4.8,(100+)
"YOGA, STRENGTH TRAINING",inBalance,"6626 West Loop 1604 North , Suite 212, San Antonio",4.8,(100+)
YOGA,Mobile Om,"125 Lamar, Suite 105, San Antonio",4.8,(100+)
STRENGTH TRAINING,TejasFit,"4904 Broadway St, San Antonio",4.9,(100+)
GYM TIME,Tapout Fitness,"903 E Bitters Rd, San Antonio",4.9,(100+)
GYM TIME,The Synergy Studio,"701 North Alamo, Suite #2, San Antonio",4.8,(500+)
YOGA,Yoga Shala of San Antonio,"18730 Stone Oak Parkway, Suite 210, San Antonio",4.8,(100+)
"STRENGTH TRAINING, BARRE",Lucky Barre and Fitness,"139 N Castell Ave, New Braunfels",4.9,(100+)
BARRE,Forever Fit Boerne,"455 South Main Street, Boerne",5.0,(41)
YOGA,Half Moon Power Yoga,"15900 La Cantera Parkway , Suite 2320, San Antonio",4.9,(58)
STRENGTH TRAINING,NLC,"5123 North Loop 1604 West, Suite #104, San Antonio",4.8,(45)
YOGA,Hamsa,"1112 S St Mary's St, San Antonio",4.7,(100+)
AERIAL,Aerial Yoga Boerne,"37131 Interstate 10 Frontage Rd, Suite 300-2, Boerne",4.8,(100+)
STRENGTH TRAINING,BSA Sports Lab LLC,"11503 East Loop 1604 North , Ste. 111, Universal City",4.9,(65)
STRENGTH TRAINING,Revolution Sport and Fitness,"6011 Broadway, Alamo Heights",4.9,(82)
YOGA,Transcend,"140 Fredericksburg Rd, San Antonio",4.6,(100+)
"YOGA, CYCLING, …",OnePlus Strength and Conditioning,"1035 Austin Highway, San Antonio",5.0,(28)
"STRENGTH TRAINING, BOXING",MixFit,"2655 Flight Nurse, San Antonio",4.9,(82)
STRENGTH TRAINING,WellFIT Private Fitness,"1919 Lockhill Selma Rd, Suite 101, San Antonio",4.8,(100+)
"YOGA, STRENGTH TRAINING",The Yoga Den,"10203 Culebra Rd, Suite #9, San Antonio",4.7,(100+)
"STRENGTH TRAINING, DANCE",Fitness 1440,"9910 West Loop 1604 North, San Antonio",5.0,(15)
STRENGTH TRAINING,Alfa Fitness,"3800 NW Loop 410 , Ste 105, San Antonio",4.6,(40)
"CYCLING, STRENGTH TRAINING",Alamo 180 Multisport + Training,"312 Melrose Pl, San Antonio",4.9,(100+)
