CYCLING,SPARKCYCLE,"2835 Perry Rd, San Diego",4.9,(5000+)
YOGA,Yoga Six,"2850 Womble Rd, Suite 101, San Diego",4.9,(5000+)
BOXING,Renegade Fitcamp,"3312 University Avenue, San Diego",5.0,(1000+)
CYCLING,CycleBar,"1040 University Ave, San Diego",4.9,(5000+)
STRENGTH TRAINING,Renegade Fitcamp,"440 W Washington St, San Diego",4.9,(5000+)
CYCLING,Rush Cycle,"11055 Roselle St, Suite 140, San Diego",4.9,(5000+)
PILATES,Pilates Plus,"1015 Turquoise St, Suite 1, San Diego",4.9,(5000+)
"CYCLING, PILATES",BODYROK,"121 N El Camino Real, Suite B, Encinitas",4.9,(5000+)
CYCLING,Rush Cycle,"339 N El Camino Real, Encinitas",4.9,(5000+)
YOGA,Yoga Six,"437 Hwy 101, Suite #401, Solana Beach",4.8,(5000+)
CYCLING,SPARKCYCLE,"7777 Fay Ave, Suite G1, San Diego",4.9,(5000+)
STRENGTH TRAINING,Renegade Fitcamp,"3445 Midway Dr, San Diego",4.9,(1000+)
YOGA,Reach Yoga,"1319 Garnet Ave, San Diego",4.9,(5000+)
YOGA,Yoga Six,"1905 Calle Barcelona, Suite 238, Carlsbad",4.8,(5000+)
STRENGTH TRAINING,Versatile Fitness,"2710 Garnet Ave, #204, San Diego",4.9,(5000+)
CYCLING,Rush Cycle - La Jolla,"5628 La Jolla Blvd, San Diego",4.9,(5000+)
BARRE,Studio Barre,"321 W Washington St, San Diego",4.9,(5000+)
PILATES,Studio Reform Pilates,"1040 University Ave, San Diego",4.9,(5000+)
YOGA,Mantra Yoga & Juice Bar,"5617 Paseo Del Norte, suite 230, Carlsbad",4.8,(5000+)
PILATES,Pilates Plus La Jolla,"7712 Fay Ave, San Diego",4.9,(5000+)
YOGA,Yoga Tropics,"830 S Coast Hwy 101, Encinitas",4.8,(5000+)
STRENGTH TRAINING,Elevate Training,"437 Hwy 101, #201, Solana Beach",4.9,(5000+)
STRENGTH TRAINING,Elevate Training,"900 Bayfront Court, Suite 107, San Diego",4.9,(5000+)
PILATES,Pilates Republic,"960 South Coast Highway 101 Unit 112, Encinitas",4.9,(1000+)
STRENGTH TRAINING,HIIT Circuit Training,"7743 Fay Ave, San Diego",4.9,(5000+)
BARRE,Belle + Barre,"3956 1st Ave, San Diego",4.9,(5000+)
PILATES,Powerhouse Pilates,"5010 Cass St, Suite H, San Diego",4.9,(5000+)
