"STRENGTH TRAINING, RUNNING",Barry's Bootcamp,"228 Stanford Shopping Center, Building L, Palo Alto",4.9,(1000+)
"YOGA, STRENGTH TRAINING",Turbo 26 Studio,"240 Stanford Shopping Center, Palo Alto",4.8,(5000+)
BARRE,barre3,"989 El Camino Real, Menlo Park",4.8,(5000+)
YOGA,CorePower Yoga,"2712 Augustine Dr, Suite 210, Santa Clara",4.8,(1000+)
"CYCLING, STRENGTH TRAINING, …",Uforia Studios,"819 Ramona St, Palo Alto",4.8,(5000+)
PILATES,Transform Fitness Studio,"319 Castro St, Mountain View",4.8,(5000+)
BARRE,barre3,"1395 Lincoln Ave, San Jose",4.8,(5000+)
BARRE,barre3,"4758 W El Camino Real, Los Altos",4.8,(5000+)
PILATES,Core Studio,"2695 Middlefield Rd, Palo Alto",4.8,(5000+)
YOGA,YogaSource Los Gatos,"16185 Los Gatos Blvd, Los Gatos",4.8,(5000+)
YOGA,Yoga of Los Altos,"377 1st St, Los Altos",4.8,(1000+)
YOGA,CorePower Yoga,"55 River Oaks Pl, San Jose",4.8,(1000+)
STRENGTH TRAINING,Field Fitness,"1299 Water Lily Way, Suite 20, San Jose",4.9,(1000+)
PILATES,sculpt50,"1875 S. Bascom Ave #2410, Campbell",4.8,(1000+)
STRENGTH TRAINING,Body Evolution,"5944 Newpark Mall Rd, Newark",4.8,(1000+)
YOGA,Breathe Together,"14107 Winchester Blvd, Ste H, Los Gatos",4.7,(1000+)
STRENGTH TRAINING,CORevolution,"12852 Saratoga Sunnyvale Rd, Saratoga",4.8,(5000+)
DANCE,Inspiration Studios,"2682 Middlefield Rd, Redwood City",4.9,(1000+)
BARRE,labarre,"1445 The Alameda, San Jose",4.8,(1000+)
STRENGTH TRAINING,Functional Performance Fitness,"1049 Lincoln Ave, San Jose",4.9,(500+)
CYCLING,CycleBar,"15525 Union Ave, Los Gatos",4.8,(1000+)
CYCLING,CycleBar,"5293A Prospect Rd, Saratoga",4.8,(1000+)
YOGA,CorePower Yoga,"1080 Blossom Hill Road, Suite H, San Jose",4.8,(1000+)
YOGA,YogaWorks,"440 Kipling St, Palo Alto",4.6,(1000+)
BARRE,Pure Barre,"50 University Ave, Los Gatos",4.8,(1000+)
YOGA,Yoga Wave Cupertino,"10805 North Wolfe Road , Cupertino",4.7,(1000+)
STRENGTH TRAINING,3Fit,"3685 Enochs St, Santa Clara",4.9,(1000+)
BARRE,The Dailey Method,"15200 Los Gatos Blvd, Los Gatos",4.7,(1000+)
GYM TIME,Fitness 19 (Sunnyvale),"1060 E El Camino Real, Sunnyvale",4.6,(1000+)
BARRE,The Barre Code,"415 N Mary Ave, Sunnyvale",4.7,(1000+)
"PRENATAL, YOGA",Be The Change Yoga,"947 Park Ave, San Jose",4.8,(1000+)
YOGA,Spiritual Alignment Yoga and Healing Center,"37485 Niles Boulevard, Fremont",4.8,(500+)
YOGA,Just Breathe Yoga,"3971 Rivermark Plaza, Santa Clara",4.7,(1000+)
YOGA,Blossom Birth & Family,"290 California Ave, Suite A, Palo Alto",4.8,(500+)
YOGA,Yoga @ Cindy's,"500 Lawrence Expy, Ste H & I, Sunnyvale",4.7,(500+)
BARRE,Alkalign,"3528 Alameda De Las Pulgas, Menlo Park",4.7,(1000+)
DANCE,On One Studios,"422 North Capitol Avenue, San Jose",4.8,(100+)
STRENGTH TRAINING,Red Dot Fitness,"850 The Alameda, Suite #20, San Jose",4.9,(1000+)
PILATES,SMUV Lagree Fitness,"1710 Berryessa Road Suite 101, San Jose",4.9,(100+)
"STRENGTH TRAINING, DANCE",HeniFitness,"37161 Niles Blvd, Fremont",4.8,(500+)
BARRE,Alkalign,"249 1st St, Los Altos",4.7,(1000+)
CRYOTHERAPY,Glace Cryotherapy Mountain View,"1040 Grant Rd, #165, Mountain View",4.6,(1000+)
YOGA,Bikram Yoga Milpitas,"1200 S Abel St, Milpitas",4.7,(500+)
BOXING,Dozen Boxing,"1516 Main Street, Redwood City",5.0,(100+)
STRENGTH TRAINING,Method3 Fitness,"1918 Camden Ave, San Jose",4.8,(1000+)
"STRENGTH TRAINING, BOXING",SBM Group FIT,"1011 El Camino Real, Menlo Park",4.8,(1000+)
YOGA,Live Lotus,"920 S 1st St., San Jose",4.7,(1000+)
YOGA,Kula Wellness,"1242 Birchwood Drive, Sunnyvale",4.8,(100+)
BARRE,The Bar Method,"855 El Camino Real, Palo Alto",4.6,(100+)
STRENGTH TRAINING,NCFIT,"112 N Rengstorff Ave, Mountain View",4.7,(100+)
STRENGTH TRAINING,BMI Fitness,"1678 Coleman Ave, Santa Clara",4.8,(500+)
BOXING,XP360 Strength & Conditioning,"1206 Mountain View -Alviso Rd, Unit C, Sunnyvale",4.9,(500+)
STRENGTH TRAINING,COR,"3530 Lochinvar Ave, Santa Clara",4.8,(500+)
YOGA,Esha Yoga,"3565 Homestead Rd, Santa Clara",4.6,(500+)
DANCE,Pacific Ballet Academy,"295 Polaris Ave, Mountain View",4.9,(100+)
BARRE,The Bar Method,"3986 Rivermark Pkwy, Santa Clara",4.6,(100+)
STRENGTH TRAINING,PerformanceGaines,"310 California Avenue, Palo Alto",4.9,(100+)
PILATES,Tru-Balance Fitness Pilates,"1070 Lincoln Ave, San Jose",4.8,(100+)
YOGA,Downtown Yoga Shala,"467 S 1st St, San Jose",4.8,(100+)
"YOGA, DANCE",Bombay Jam - By Mona Khan Company,"MKC Studio, 1015 S De Anza Blvd, San Jose",4.5,(100+)
YOGA,CorePower Yoga,"747 S Winchester Blvd, San Jose",4.9,(100+)
MEDITATION,Enlightened Meditation,"493 S Market st, San Jose",4.8,(100+)
BOXING,UFC Gym,"733 S Wolfe Rd, Sunnyvale",4.4,(500+)
BOXING,Studiokicks,"553 N Santa Cruz Ave, Los Gatos",4.8,(80)
"YOGA, STRENGTH TRAINING",Fitness 19,"1350 South Park Victoria Drive, Milpitas",4.8,(100+)
BOXING,UFC Gym,"1323 S Winchester Blvd, San Jose",4.8,(500+)
STRENGTH TRAINING,NCFIT,"2280 S Bascom Ave, Campbell",4.8,(100+)
"PILATES, BOXING",Soul Pilates,"1060 Willow Street Suite 7, San Jose",4.9,(96)
"PRENATAL, YOGA",Lotus Blossom Prenatal Yoga,"745 Distel Dr, Los Altos",4.9,(77)
STRENGTH TRAINING,Almaden Valley Athletic Club,"5400 Camden Ave, San Jose",4.7,(100+)
MARTIAL ARTS,Studio Kicks Palo Alto,"796A San Antonio Rd., Palo Alto",4.7,(100+)
YOGA,NuLife Yoga,"25 Dana Ave, San Jose",4.8,(100+)
STRENGTH TRAINING,CrossFit Silicon Valley,"808 West San Carlos St., San Jose",4.8,(100+)
DANCE,Bombay Jam - By Mona Khan Company,"473 Jacklin Rd, Milpitas",4.7,(88)
DANCE,HaoExpression,"740 Sierra Vista Ave, #G, Mountain View",4.6,(91)
STRENGTH TRAINING,NCFIT,"5156 Stevens Creek Boulevard, San Jose",4.7,(100+)
DANCE,Groovitude Dance,"Cubberly Community Center - Dance Visions Studio, 4000 Middlefield Rd, Room L-3, Palo Alto",4.8,(100+)
DANCE,Jazzercise,"458 E El Camino Real, Sunnyvale",4.4,(500+)
STRENGTH TRAINING,Mindful Bodies,"2575 East Bayshore Road, Redwood City",4.9,(78)
DANCE,The Rose Ballroom,"1224 S Bascom Ave, San Jose",4.7,(81)
GYM TIME,Active Sports Clubs,"100 Enterprise Way, Scotts Valley",4.9,(100+)
"YOGA, PILATES, …",Flex Fusion Studios,"2125 South Winchester Boulevard, #140, Campbell",4.8,(64)
STRENGTH TRAINING,Croga Crossfit,"1547 Meridian Ave, San Jose",4.9,(100+)
DANCE,Ariel Dance Productions,"2385 Winchester Blvd, Campbell",4.5,(78)
YOGA,Sports Basement,"1177 Kern Avenue, Sunnyvale",4.3,(100+)
DANCE,Dance Boulevard,"1824 Hillsdale Ave, San Jose",4.6,(77)
POSTNATAL,Fit Parent Bootcamp,"14938 Camden Ave, #49, San Jose",4.8,(41)
STRENGTH TRAINING,NCFIT,"3151 Edison Way, Redwood City",4.9,(83)
STRENGTH TRAINING,CrossFit Incredible,"3585 Haven Ave, Menlo Park",4.6,(89)
"STRENGTH TRAINING, DANCE",Jazzercise,"37420 Cedar Blvd. , Suite B , Newark",4.7,(41)
GYM TIME,Oasis Fitness,"35145 Newark Blvd., Newark",4.5,(47)
STRENGTH TRAINING,MPowered Bootcamps,"1 W Campbell Ave, Campbell",4.9,(73)
STRENGTH TRAINING,Lifeworx Fitness and CrossFit,"14388 Union Avenue, San Jose",4.8,(49)
"PRENATAL, STRENGTH TRAINING",POP Fitness,"37161 Niles Blvd Unit B, Fremont",4.8,(24)
"YOGA, PILATES, …",Passion Fit,"Areté Dance Center, 979 Fremont Ave., Los Altos",5.0,(41)
