CYCLING,Flywheel Sports: Stadium Cycling,"1927 Florida Ave NW, Washington",4.9,(5000+)
CYCLING,Zengo Cycle,"1508 14th St NW, Washington",4.9,(5000+)
CYCLING,Flywheel Sports: Stadium Cycling,"824 9th St NW, Unit B, Washington",4.8,(5000+)
BARRE,barre3,"701 2nd St NE, Washington",4.9,(5000+)
PILATES,Reformation Fitness,"1218 9th St NW, Washington",4.8,(5000+)
"STRENGTH TRAINING, RUNNING",Barry's Bootcamp,"1345 19th St NW, Washington",4.9,(5000+)
BARRE,barre3,"2800 Clarendon Blvd, Ste 930, Arlington",4.9,(5000+)
CYCLING,Zengo Cycle,"4866 Cordell Ave, Bethesda",4.8,(5000+)
"CYCLING, STRENGTH TRAINING",Zweet Sport Total Fitness,"727 N Henry Street, Alexandria",4.9,(5000+)
PILATES,Toolbox Pilates,"1627 R Connecticut Ave NW, Washington",4.8,(5000+)
"STRENGTH TRAINING, BARRE",Flywheel Sports: Precision Training,"1927 Florida Ave NW, Washington",4.9,(5000+)
BARRE,barre3,"1000 Wisconsin Ave NW, Suite G100, Washington",4.9,(5000+)
BARRE,barre3,"1832 14th St NW, Washington",4.9,(5000+)
"STRENGTH TRAINING, BARRE",Flywheel Sports: Precision Training,"824 9th St NW, Unit B, Washington",4.9,(5000+)
CYCLING,CycleBar,"301 W Broad St, Falls Church",4.8,(5000+)
PILATES,District Pilates,"1302 9th St NW, Washington",4.9,(5000+)
YOGA,Zweet Sport Hot Yoga,"400 N Henry St, Alexandria",4.8,(5000+)
YOGA,CorePower Yoga,"1150 Connecticut Ave NW, Washington",4.8,(5000+)
CYCLING,Zengo Cycle,"3308 Wisconsin Ave NW, #202, Washington",4.9,(5000+)
BARRE,Biker Barre,"738 7th St SE, Washington",4.8,(5000+)
PILATES,[solidcore],"1441 U Street NW, Washington",4.9,(1000+)
STRENGTH TRAINING,Elevate Interval Fitness,"2428 14th St NW, Washington",4.9,(5000+)
BARRE,barre3,"715 Duke St, Alexandria",4.9,(5000+)
"PILATES, STRENGTH TRAINING",[solidcore],"1821 7th St NW, Washington",4.9,(5000+)
CYCLING,CycleBar,"3400 Columbia Pike, Arlington",4.8,(5000+)
YOGA,Flow Yoga Center,"TWO LOCATIONS, 1450 P St NW, OR 1508 14th St NW (check class details), Washington",4.8,(5000+)
"YOGA, STRENGTH TRAINING",Next Phase Studio,"7610 Old Georgetown Rd, Bethesda",4.8,(5000+)
BARRE,barre3,"4829 Cordell Ave, Bethesda",4.9,(5000+)
"PILATES, STRENGTH TRAINING",[solidcore],"433 Massachusetts Ave NW, Washington",4.9,(5000+)
YOGA,Dupont Circle Yoga,"2032 P St NW, Washington",4.8,(5000+)
PILATES,District Pilates,"4011 Georgia Ave NW, Washington",4.9,(5000+)
YOGA,CorePower Yoga,"1055 Thomas Jefferson St NW, Washington",4.8,(5000+)
YOGA,CorePower Yoga,"1929 Clarendon Blvd, Arlington",4.8,(5000+)
YOGA,Epic Yoga DC,"1323 Connecticut Ave NW, Washington",4.8,(5000+)
CYCLING,RYDE Cycle,"1025 N Fillmore St, Suite J, Arlington",4.7,(5000+)
