30/60/90 Fitness,656 6th Ave,"New York,",NY,10011
39th Avenue Dance and Fitness,38-12 30th St,"Long Island City,",NY,11101
92Y - May Center,1395 Lexington Ave,"New York,",NY,10128
Aerial Arts NYC,235 East 49th Street,"New York,",NY,10017
Aerial Fitness and Natural Wellness Center,38 West Main Street,"Riverhead,",NY,11901
a•line pilates,"236 Carroll Street, Parlor Floor","Brooklyn,",NY,11231
American Liberty Ballet School,115 Macdougal Street Studio 2d,"New York,",NY,10012
Area Yoga - Brooklyn Heights,144 Montague Street,"Brooklyn,",NY,11201
Area Yoga - Carroll Gardens,274 Smith Street,"Brooklyn,",NY,11231
Area Yoga - Fort Greene,334 Myrtle Avenue,"Brooklyn,",NY,11205
Area Yoga - Park Slope,45 5th Avenue,"Brooklyn,",NY,11217
Arthur Murray Dance,"1845 Broadway, 4th Floor","New York,",NY,10023
Art In Motion Dance Co,Pearl Studios (500 8th Avenue) 12th Floor,"New York,",NY,10018
Ashtanga Yoga Montclair,127 Valley Road,"Montclair,",NJ,07042
Asphalt Green - Battery Park City,212 North End Ave,"New York,",NY,10282
Asphalt Green - Upper East Side,555 E 90th St,"New York,",NY,10128
Atmananda E.23rd,112 East 23rd Street 2nd floor,"New York,",NY,10010
Atmananda Yoga Sequence,226 East 54th Street 7 floor,"New York,",NY,10022
Avea Pilates - East Village,"130 East 7th Street 2nd Floor, Suite 1","New York,",NY,10009
Avea Pilates - West Village,"3 West 13th Street, Floor 2","New York,",NY,10011
Ballet Academy East,1651 3rd Avenue,"New York,",NY,10128
Banana Skirt Productions,Multiple Locations - 500 8th Ave 3rd Floor (See Class Descriptions),"New York,",NY,10018
Barre TriBeCa,"28 Warren Street, 2nd Floor","New York ,",NY,10007
Barry's Bootcamp - Noho,419 Lafayette St.,"New York,",NY,10003
Barry's Bootcamp - Park Ave South,107 East 27th St,"New York,",NY,10016
Barry's Bootcamp - Tribeca,1 York St.,"New York,",NY,10013
Barry's Bootcamp - UES,1216 2nd Ave,"New York,",NY,10065
Barry's Bootcamp - Upper West Side,72-74 W. 69th St,"New York,",NY,10023
befitnyc,"2726 Broadway, 2nd Floor","New York,",NY,10025
BellaVita,Multiple Locations (See Class Titles),"New York,",NY,10001
Beyond Movement Fitness,46-01 5th street 2nd floor,"Long Island City,",NY,11101
BK Pilates - Flatiron,"16 W 23rd Street, 3rd Floor","New York,",NY,10010
BK Pilates - Marine Park,3036 Nostrand Avenue,"Brooklyn,",NY,11229
BK Pilates - Tribeca,"406 Broadway, 2nd Floor","New York,",NY,10013
BK Pilates - Williamsburg,"710 Grand Street, First Floor","Brooklyn,",NY,11211
bodē - Flatiron,182 Fifth Avenue,"New York,",NY,10010
bodē - Upper East Side,173 East 83rd Street,"New York,",NY,10028
bodē - Upper West Side,143 West 72nd Street,"New York,",NY,10023
Bodies by Pilates NYC,11 Maiden Lane,"New York,",NY,10038
BODIESYNERGY,Bartel-Pritchard Square - Prospect Park Southwest,"Brooklyn,",NY,11215
Body Evolutions,266 East 10th Street,"New York,",NY,10009
BodyLine Pilates - Manhattan,37 West 26th Street Suite 210,"New York,",NY,10010
BodyLine Pilates - Staten Island,1361 Hylan Blvd,"Staten Island,",NY,10305
Body Space Fitness,47 W 14th St,"New York,",NY,10011
